基金代码,成立日期,基金经理(现任),类型,管理人,资产规模,截止至,起始期,截止期,基金经理(变动),任职期间,任职回报
012734,2022-03-01,张湛,指数型-股票,易方达基金,76.17亿元,,,,,,
012808,2021-07-19,闫冬,指数型-股票,鹏华基金,0.22亿元,,,,,,
012836,2021-07-20,梁辰,股票型,招商基金,1.50亿元,,,,,,
012895,2021-07-16,张戈,指数型-股票,天弘基金,22.42亿元,,,,,,
012899,2021-07-14,林学晨,指数型-股票,兴银基金管理,3.41亿元,,,,,,
012908,2021-07-16,施红俊,指数型-股票,鹏扬基金,5.32亿元,,,,,,
012922,2022-01-11,郑希,QDII-混合偏股,易方达基金,38.80亿元,,,,,,
012838,2021-08-03,刘璇子,指数型-股票,华安基金,1.74亿元,,,,,,
012901,2021-11-16,文雨,指数型-股票,招商基金,2.15亿元,,,,,,
012964,2021-10-19,李崟,混合型-平衡,招商基金,0.79亿元,,,,,,
012970,2021-08-24,罗英宇,指数型-股票,鹏华基金,6.43亿元,,,,,,
013050,2021-08-31,邹慧,股票型,兴业基金,2.89亿元,,,,,,
013010,2022-01-05,刘宏达,混合型-偏股,万家基金,5.06亿元,,,,,,
013081,2021-08-26,黄稚,指数型-股票,中信保诚基金,1.91亿元,,,,,,
013096,2022-03-08,张竞,混合型-偏股,安信基金,3.02亿元,,,,,,
013084,2021-08-26,黄稚,指数型-股票,中信保诚基金,0.29亿元,,,,,,
013108,2021-11-16,高翔,混合型-偏股,华夏基金,1.68亿元,,,,,,
013116,2021-08-23,刘畅畅桑翔宇,混合型-灵活,华安基金,3.96亿元,,,,,,
013122,2021-08-26,黄稚HAN YILING,指数型-股票,中信保诚基金,0.22亿元,,,,,,
013167,2022-01-28,李兵伟,混合型-偏股,东兴基金,0.27亿元,,,,,,
013142,2021-07-30,余懿,混合型-灵活,华商基金,2.59亿元,,,,,,
013277,2021-08-17,曹璐迪,指数型-股票,富国基金,6.14亿元,,,,,,
013153,2021-08-12,左金保宋海岸,混合型-灵活,长信基金,0.87亿元,,,,,,
013299,2021-08-19,崔蕾,指数型-股票,南方基金,3.34亿元,,,,,,
013292,2021-08-24,张圣贤,指数型-股票,富国基金,1.72亿元,,,,,,
013303,2021-08-24,房俊一,指数型-股票,招商基金,3.51亿元,,,,,,
013314,2021-08-24,曹璐迪,指数型-股票,富国基金,2.76亿元,,,,,,
013305,2021-08-24,伍臣东,指数型-股票,易方达基金,19.86亿元,,,,,,
013311,2021-08-24,徐猛,指数型-股票,华夏基金,5.85亿元,,,,,,
013316,2021-08-24,李直,指数型-股票,嘉实基金,2.90亿元,,,,,,
013340,2021-09-28,刘扬,股票型,创金合信基金,6.51亿元,,,,,,
013318,2021-08-25,胡洁,指数型-股票,华宝基金,0.50亿元,,,,,,
013366,2021-10-29,赵鹏程,混合型-偏股,汇添富基金,1.05亿元,,,,,,
013392,2021-08-19,樊力谨,混合型-偏股,广发基金,0.88亿元,,,,,,
013396,2021-09-15,杨宇,混合型-偏股,华夏基金,4.28亿元,,,,,,
013331,2021-08-19,徐幼华方旻,指数型-股票,富国基金,3.92亿元,,,,,,
013418,2021-09-17,冀楠,混合型-偏股,博时基金,0.74亿元,,,,,,
013410,2021-08-31,陈鹏扬,混合型-灵活,博时基金,0.01亿元,,,,,,
013466,2021-11-02,刘钊,股票型,博时基金,21.34亿元,,,,,,
013446,2021-09-16,姚楠燕,指数型-股票,东财基金,3.11亿元,,,,,,
013489,2021-09-03,易威杨冬,混合型-灵活,广发基金,0.96亿元,,,,,,
013514,2021-10-28,徐小勇,混合型-偏股,长安基金,0.36亿元,,,,,,
013533,2021-09-10,吴远怡,混合型-偏股,广发基金,16.10亿元,,,,,,
013553,2021-12-10,郑磊,混合型-偏股,汇添富基金,3.10亿元,,,,,,
013613,2021-09-24,容志能,股票型,宝盈基金,0.25亿元,,,,,,
013562,2021-11-02,王喆杜超,混合型-偏股,国联基金,0.36亿元,,,,,,
013620,2021-10-18,胡宜斌,混合型-灵活,华安基金,10.71亿元,,,,,,
013622,2021-10-18,刘畅畅,股票型,华安基金,0.82亿元,,,,,,
013621,2021-10-18,胡宜斌,混合型-偏股,华安基金,1.25亿元,,,,,,
013637,2021-11-18,吉莉,混合型-偏股,国投瑞银基金,0.09亿元,,,,,,
013681,2022-07-20,刘畅畅,混合型-偏股,华安基金,3.12亿元,,,,,,
013642,2021-10-26,杨梦,股票型,博道基金,31.21亿元,,,,,,
013722,2021-12-21,吴清宇,混合型-偏股,信达澳亚基金,4.88亿元,,,,,,
013772,2022-02-09,张一然薛杨,混合型-偏股,中加基金,0.70亿元,,,,,,
013734,2021-12-24,赵耀,混合型-偏股,红塔红土,0.21亿元,,,,,,
013856,2022-03-17,蔡丞丰,混合型-偏股,嘉实基金,0.18亿元,,,,,,
013841,2021-12-08,方建,混合型-偏股,银华基金,31.60亿元,,,,,,
013881,2021-10-28,宋海岸,指数型-股票,长信基金,0.31亿元,,,,,,
013811,2021-10-20,陆志明,指数型-股票,广发基金,14.75亿元,,,,,,
013896,2021-12-01,李巍宇,混合型-偏股,宝盈基金,2.02亿元,,,,,,
013954,2022-06-09,杨喆,FOF-进取型,广发基金,0.10亿元,,,,,,
013894,2022-05-24,黄欣,指数型-股票,国联安基金,0.87亿元,,,,,,
014037,2021-12-03,肖瑞瑾,混合型-偏股,博时基金,0.61亿元,,,,,,
014113,2022-01-17,陈博,混合型-灵活,上银基金,0.15亿元,,,,,,
014126,2021-12-07,袁英杰,指数型-股票,华夏基金,3.10亿元,,,,,,
014127,2021-11-22,何博程越楷,QDII-混合灵活,融通基金,0.09亿元,,,,,,
014130,2021-11-30,何天翔林丽娟,指数型-股票,融通基金,9.63亿元,,,,,,
014156,2021-12-15,胡崇海邓雅琨,指数型-股票,国泰海通资管,12.39亿元,,,,,,
014143,2021-11-22,郑巍山,混合型-偏股,银河基金,28.39亿元,,,,,,
014136,2022-01-20,曲径宋婷,混合型-偏股,中欧基金,1.34亿元,,,,,,
014162,2021-11-19,耿嘉洲,混合型-偏股,万家基金,14.82亿元,,,,,,
014194,2021-12-02,马磊,指数型-股票,汇添富基金,3.85亿元,,,,,,
014172,2021-12-07,张圣贤,指数型-股票,富国基金,0.81亿元,,,,,,
014197,2022-07-19,曾辉,FOF-进取型,国泰基金,0.21亿元,,,,,,
014173,2021-12-02,牛志冬,指数型-股票,富国基金,0.27亿元,,,,,,
014233,2021-12-06,郭晓林刘玉强,混合型-偏股,博时基金,2.54亿元,,,,,,
014225,2022-01-19,韩创,混合型-偏股,大成基金,4.03亿元,,,,,,
014219,2022-03-29,赖中立,指数型-股票,汇添富基金,3.13亿元,,,,,,
014243,2021-12-09,徐智翔,混合型-偏股,富国基金,12.04亿元,,,,,,
014306,2022-04-27,徐帅宇,指数型-股票,华泰柏瑞基金,0.41亿元,,,,,,
014282,2021-11-25,吴振华,混合型-偏股,中信保诚基金,0.34亿元,,,,,,
014320,2021-12-28,雷涛,混合型-偏股,德邦基金,29.10亿元,,,,,,
014328,2022-03-08,王振林,混合型-偏股,格林基金,0.01亿元,,,,,,
014335,2021-11-25,孙浩中,混合型-偏股,中信保诚基金,0.06亿元,,,,,,
014340,2021-12-29,施展,混合型-偏股,长江证券(上海)资管,1.77亿元,,,,,,
014332,2021-12-14,谭弘翔,指数型-股票,华泰柏瑞基金,3.99亿元,,,,,,
014417,2021-12-28,陆建巍,股票型,泰康基金,1.93亿元,,,,,,
014345,2022-01-11,苏俊杰,指数型-股票,鹏华基金,5.87亿元,,,,,,
014353,2022-04-19,陈皓,混合型-偏股,东方基金,0.18亿元,,,,,,
014377,2022-01-25,刘元海,股票型,东吴基金,5.46亿元,,,,,,
014473,2022-01-25,孟棋,混合型-偏股,景顺长城基金,0.88亿元,,,,,,
014507,2022-01-25,陈鹏扬,混合型-偏股,博时基金,0.54亿元,,,,,,
014509,2022-03-02,董超,混合型-偏股,汇添富基金,3.39亿元,,,,,,
014419,2021-12-23,盛丰衍张昌平,指数型-股票,西部利得基金,3.78亿元,,,,,,
014536,2021-12-22,童宇,股票型,诺安基金,0.51亿元,,,,,,
014549,2021-12-17,高扬,混合型-灵活,交银施罗德基金,0.09亿元,,,,,,
014542,2022-05-11,熊哲颖,混合型-偏股,华安基金,0.56亿元,,,,,,
014544,2021-12-28,乐无穹何丽竹,指数型-股票,汇添富基金,9.75亿元,,,,,,
014550,2021-12-22,陈衍鹏,混合型-灵活,诺安基金,0.08亿元,,,,,,
014581,2021-12-23,徐慢,混合型-灵活,东吴基金,1.62亿元,,,,,,
014601,2022-02-08,肖瑞瑾,混合型-偏股,博时基金,0.86亿元,,,,,,
014642,2021-12-24,杜猛,混合型-偏股,摩根基金(中国),19.74亿元,,,,,,
014667,2022-05-24,宋炳珅,混合型-偏股,工银瑞信基金,0.71亿元,,,,,,
014662,2022-03-02,沙川,指数型-其他,天弘基金,11.27亿元,,,,,,
014737,2022-01-26,王先伟,股票型,创金合信基金,2.10亿元,,,,,,
014728,2022-02-08,刘健维,混合型-偏股,易方达基金,19.92亿元,,,,,,
014777,2022-01-18,张圣贤,指数型-股票,富国基金,3.66亿元,,,,,,
014830,2022-03-31,王恒楠,混合型-偏股,诺德基金,0.16亿元,,,,,,
014855,2022-04-22,刘斌,指数型-股票,嘉实基金,23.49亿元,,,,,,
014871,2022-01-26,雷志勇,混合型-灵活,摩根士丹利基金,0.08亿元,,,,,,
014755,2022-06-02,胡宜斌,混合型-偏股,华安基金,1.10亿元,,,,,,
014930,2022-01-25,毕天宇,股票型,富国基金,0.12亿元,,,,,,
014914,2022-03-15,吴鹏,混合型-偏股,博时基金,0.09亿元,,,,,,
014839,2022-02-23,袁作栋罗怡达,混合型-偏股,兴银基金管理,0.20亿元,,,,,,
014954,2022-01-27,冯明远,混合型-偏股,信达澳亚基金,5.72亿元,,,,,,
014964,2022-01-25,李德辉,混合型-灵活,摩根基金(中国),0.07亿元,,,,,,
014970,2022-04-27,熊哲颖,混合型-偏股,华安基金,3.83亿元,,,,,,
014972,2022-05-10,胡宜斌,混合型-灵活,华安基金,4.66亿元,,,,,,
015031,2022-03-01,金耀,混合型-偏股,博时基金,0.46亿元,,,,,,
014975,2022-04-27,栾超,混合型-偏股,华安基金,0.78亿元,,,,,,
015039,2022-02-15,高远,混合型-偏股,长信基金,15.16亿元,,,,,,
015044,2022-05-31,张昌平,混合型-偏股,西部利得基金,2.11亿元,,,,,,
015054,2022-02-08,吴春杰,FOF-进取型,摩根基金(中国),0.07亿元,,,,,,
014985,2022-02-22,刘璇子,指数型-股票,华安基金,5.67亿元,,,,,,
015075,2022-02-16,赵隆隆,股票型,摩根基金(中国),0.01亿元,,,,,,
015105,2022-06-02,何晓彬,混合型-偏股,博道基金,0.08亿元,,,,,,
015097,2022-03-01,冯杰波,混合型-偏股,东财基金,2.22亿元,,,,,,
015144,2022-03-22,邵洁,混合型-偏股,中欧基金,9.45亿元,,,,,,
015152,2022-02-22,刘元海,混合型-灵活,东吴基金,8.61亿元,,,,,,
015170,2022-02-23,李博,股票型,摩根基金(中国),3.76亿元,,,,,,
015198,2022-03-07,沈若雨,股票型,汇添富基金,2.73亿元,,,,,,
015271,2022-03-03,沈犁,混合型-灵活,财通基金,0.16亿元,,,,,,
015159,2022-02-25,付娟卜忠林,股票型,申万菱信基金,4.06亿元,,,,,,
015205,2022-04-07,李宜璇,QDII-普通股票,银华基金,1.09亿元,,,,,,
015321,2022-04-22,张剑鑫,混合型-偏股,长江证券(上海)资管,0.25亿元,,,,,,
015358,2022-08-23,李德辉,混合型-偏股,摩根基金(中国),1.15亿元,,,,,,
015374,2022-05-24,成子浩,混合型-偏股,浙商基金,0.18亿元,,,,,,
015337,2022-03-23,田光远,指数型-股票,嘉实基金,2.10亿元,,,,,,
015382,2022-08-16,许文波刘文哲,混合型-偏股,东方基金,0.86亿元,,,,,,
015389,2022-04-01,容志能,混合型-灵活,宝盈基金,6.00亿元,,,,,,
015390,2022-03-17,汪洋,混合型-灵活,万家基金,0.05亿元,,,,,,
015454,2022-05-06,钱亚婷宋婷,指数型-股票,中欧基金,5.05亿元,,,,,,
015461,2022-03-23,周楷宁张磊,混合型-灵活,天弘基金,0.08亿元,,,,,,
015467,2022-04-29,张子权,指数型-股票,太平基金,0.65亿元,,,,,,
015491,2022-06-27,黄继晨,混合型-灵活,博时基金,0.04亿元,,,,,,
015508,2022-06-07,楼华锋,指数型-股票,兴业基金,5.16亿元,,,,,,
015561,2022-04-15,苏俊彦,混合型-偏股,长城基金,0.81亿元,,,,,,
015576,2022-06-10,孙硕,混合型-灵活,宏利基金,1.57亿元,,,,,,
015496,2022-04-27,黎海威徐喻军,指数型-股票,景顺长城基金,0.42亿元,,,,,,
015577,2022-05-13,黄欣,指数型-股票,国联安基金,0.18亿元,,,,,,
015593,2022-05-16,于腾达,股票型,国泰基金,0.13亿元,,,,,,
015585,2022-05-17,彭凌志,混合型-偏股,国泰基金,0.38亿元,,,,,,
015582,2022-05-18,高崇南贺天元,混合型-偏股,国泰基金,1.69亿元,,,,,,
015596,2022-05-17,吴中昊,指数型-股票,国泰基金,3.90亿元,,,,,,
015600,2022-05-20,吴中昊,指数型-股票,国泰基金,0.61亿元,,,,,,
015608,2022-06-01,朱然,股票型,信达澳亚基金,1.48亿元,,,,,,
015637,2022-05-06,李博,混合型-偏股,摩根基金(中国),0.67亿元,,,,,,
015642,2022-05-20,王晓川,股票型,银华基金,11.45亿元,,,,,,
015683,2022-04-29,张仲维,混合型-偏股,景顺长城基金,5.73亿元,,,,,,
015677,2022-05-20,王力,指数型-股票,鹏华基金,0.20亿元,,,,,,
015673,2022-05-10,余展昌,指数型-股票,鹏华基金,0.27亿元,,,,,,
015676,2022-05-10,罗英宇,指数型-股票,鹏华基金,0.09亿元,,,,,,
015686,2022-06-16,孙权,股票型,富国基金,37.85亿元,,,,,,
015689,2022-06-14,张富盛,混合型-偏股,富国基金,0.06亿元,,,,,,
015690,2022-06-14,曹晋,混合型-偏股,富国基金,14.27亿元,,,,,,
015692,2022-06-16,曹晋,混合型-偏股,富国基金,4.47亿元,,,,,,
015709,2022-05-13,杜猛,混合型-灵活,摩根基金(中国),3.84亿元,,,,,,
015715,2022-06-16,曹晋,混合型-偏股,富国基金,1.95亿元,,,,,,
015750,2022-08-02,郭晓林,混合型-偏股,博时基金,0.24亿元,,,,,,
015751,2022-05-13,农冰立,混合型-偏股,景顺长城基金,71.37亿元,,,,,,
015770,2022-06-28,唐博,混合型-偏股,天弘基金,1.06亿元,,,,,,
015773,2022-05-13,张林,股票型,招商基金,1.02亿元,,,,,,
015756,2022-05-20,董晗,混合型-偏股,景顺长城基金,0.29亿元,,,,,,
015788,2022-09-26,施红俊,指数型-股票,鹏扬基金,1.99亿元,,,,,,
015849,2022-06-13,孙权,混合型-灵活,富国基金,2.22亿元,,,,,,
015795,2022-08-18,杨超王帅,指数型-股票,天弘基金,3.38亿元,,,,,,
015850,2022-05-26,邢军亮,混合型-偏股,农银汇理基金,0.07亿元,,,,,,
015937,2022-06-09,吴振华,混合型-灵活,中信保诚基金,0.11亿元,,,,,,
015868,2022-08-16,胡崇海刘晟,指数型-股票,国泰海通资管,10.97亿元,,,,,,
015947,2022-06-17,邹慧,混合型-偏股,兴业基金,9.55亿元,,,,,,
015903,2022-08-22,冀楠,混合型-偏股,博时基金,0.06亿元,,,,,,
015968,2022-09-22,张海啸,混合型-偏股,永赢基金,85.80亿元,,,,,,
015877,2022-06-14,张圣贤,指数型-股票,富国基金,5.03亿元,,,,,,
015895,2022-07-19,刘洁倩,指数型-股票,平安基金,1.08亿元,,,,,,
015971,2022-09-28,陈乐,混合型-偏股,华泰柏瑞基金,5.84亿元,,,,,,
016050,2022-07-07,陈夏琼彭雾,股票型,华商基金,0.25亿元,,,,,,
016051,2022-07-07,叶峰,混合型-灵活,华商基金,1.84亿元,,,,,,
016052,2022-07-07,刘力,股票型,华商基金,0.25亿元,,,,,,
016068,2022-07-26,闫思倩,混合型-偏股,鹏华基金,9.12亿元,,,,,,
016069,2022-07-07,童立,混合型-灵活,华商基金,1.39亿元,,,,,,
016099,2022-08-11,胡宜斌,混合型-偏股,华安基金,1.15亿元,,,,,,
016123,2022-08-31,张娅郜哲,指数型-股票,华富基金,0.49亿元,,,,,,
016175,2022-09-14,吴培文,混合型-偏股,汇丰晋信基金,2.66亿元,,,,,,
016071,2022-07-07,朱才敏许瀚天,混合型-偏债,华安基金,0.50亿元,,,,,,
016198,2022-07-18,王帅,混合型-偏股,大成基金,0.10亿元,,,,,,
016256,2022-07-15,孙浩中,混合型-偏股,中信保诚基金,0.25亿元,,,,,,
016234,2022-07-18,沈犁,混合型-偏股,财通基金,0.76亿元,,,,,,
016238,2022-08-05,张景松,混合型-偏股,华夏基金,7.20亿元,,,,,,
016257,2022-07-19,刘自强,混合型-偏股,华宝基金,0.46亿元,,,,,,
016263,2022-08-02,薄官辉王浩,混合型-灵活,银华基金,0.03亿元,,,,,,
016283,2022-07-21,王林军,股票型,华泰柏瑞基金,6.52亿元,,,,,,
016289,2022-08-11,高钥群,混合型-灵活,华安基金,0.07亿元,,,,,,
016291,2022-08-11,翁启森,股票型,华安基金,0.01亿元,,,,,,
016277,2022-08-23,王平,指数型-股票,招商基金,1.77亿元,,,,,,
016292,2022-08-11,翁启森,股票型,华安基金,0.01亿元,,,,,,
016312,2022-08-23,代云锋,混合型-偏股,中欧基金,1.26亿元,,,,,,
016298,2022-09-14,罗佳明,混合型-偏股,中欧基金,1.91亿元,,,,,,
016346,2022-09-29,张云凯,混合型-偏股,长安基金,0.04亿元,,,,,,
016371,2022-08-25,刘小明,混合型-偏股,信达澳亚基金,37.73亿元,,,,,,
016461,2022-08-24,郑英亮,混合型-灵活,华宝基金,0.66亿元,,,,,,
016400,2022-08-10,李德辉,混合型-偏股,摩根基金(中国),0.01亿元,,,,,,
016463,2022-09-14,钟奇,混合型-灵活,华宝基金,0.19亿元,,,,,,
016465,2022-09-07,谢书英,混合型-偏股,兴证全球基金,11.20亿元,,,,,,
016518,2022-09-21,刘瑞,混合型-偏股,华泰证券(上海)资产管理,1.23亿元,,,,,,
016520,2022-08-25,郭昀松,混合型-灵活,中银基金,0.07亿元,,,,,,
016501,2022-09-19,高翔,混合型-偏股,华夏基金,1.88亿元,,,,,,
016556,2022-08-25,乔亮,混合型-灵活,万家基金,0.12亿元,,,,,,
016579,2022-09-19,王浩聿,混合型-偏股,长安基金,2.12亿元,,,,,,
016600,2022-09-15,莫海波,混合型-灵活,万家基金,6.68亿元,,,,,,
016616,2022-09-09,王兆祥,混合型-偏股,国泰基金,12.98亿元,,,,,,
016780,2022-10-17,马柯,混合型-灵活,国投瑞银基金,0.28亿元,,,,,,
160528,2020-03-20,石炯,混合型-灵活,博时基金,0.30亿元,,,,,,
160226,2015-11-17,陈臻迪,混合型-灵活,国泰基金,0.01亿元,,,,,,
167507,2019-12-06,邱家庆,指数型-股票,安信基金,0.60亿元,,,,,,
070039,2018-09-13,何如李直,指数型-股票,嘉实基金,2.61亿元,,,,,,
160424,2019-05-21,许之彦,指数型-股票,华安基金,40.25亿元,,,,,,
519022,2015-11-17,李海,混合型-灵活,国泰基金,12.89亿元,,,,,,
519173,2016-02-03,秦闻,混合型-灵活,浦银安盛基金,0.16亿元,,,,,,
501037,2017-08-10,吴振翔,指数型-股票,汇添富基金,4.66亿元,,,,,,
519771,2016-04-22,姜承操周珊珊,混合型-灵活,交银施罗德基金,3.77亿元,,,,,,
