date,net_value,equity_return,unit_money
2024-11-13,1.3967,-1.75,
2024-11-14,1.3801,-1.19,
2024-11-17,1.3576,-1.63,
2024-11-18,1.3654,0.57,
2024-11-19,1.3676,0.16,
2024-11-20,1.3682,0.04,
2024-11-21,1.3495,-1.37,
2024-11-24,1.352,0.19,
2024-11-25,1.3475,-0.33,
2024-11-26,1.3597,0.91,
2024-11-27,1.3569,-0.21,
2024-11-28,1.3647,0.57,
2024-12-01,1.3756,0.8,
2024-12-02,1.3753,-0.02,
2024-12-03,1.362,-0.97,
2024-12-04,1.3695,0.55,
2024-12-05,1.3708,0.09,
2024-12-08,1.3653,-0.4,
2024-12-09,1.3777,0.91,
2024-12-10,1.3814,0.27,
2024-12-11,1.3851,0.27,
2024-12-12,1.3751,-0.72,
2024-12-15,1.3679,-0.52,
2024-12-16,1.3594,-0.62,
2024-12-17,1.3638,0.32,
2024-12-18,1.3668,0.22,
2024-12-19,1.3745,0.56,
2024-12-22,1.3636,-0.79,
2024-12-23,1.365,0.1,
2024-12-24,1.3574,-0.56,
2024-12-25,1.3756,1.34,
2024-12-26,1.3714,-0.31,
2024-12-29,1.3757,0.31,
2024-12-30,1.3536,-1.61,
2025-01-01,1.344,-0.71,
2025-01-02,1.3138,-2.25,
2025-01-05,1.3092,-0.35,
2025-01-06,1.3324,1.77,
2025-01-07,1.336,0.27,
2025-01-08,1.3432,0.54,
2025-01-09,1.3234,-1.47,
2025-01-12,1.3261,0.2,
2025-01-13,1.3657,2.99,
2025-01-14,1.3582,-0.55,
2025-01-15,1.3524,-0.43,
2025-01-16,1.3547,0.17,
2025-01-19,1.3675,0.94,
2025-01-20,1.4,2.38,
2025-01-21,1.4049,0.35,
2025-01-22,1.3878,-1.22,
2025-01-23,1.409,1.53,
2025-01-26,1.3869,-1.57,
2025-02-04,1.3794,-0.54,
2025-02-05,1.4055,1.89,
2025-02-06,1.4098,0.31,
2025-02-09,1.4283,1.31,
2025-02-10,1.4328,0.32,
2025-02-11,1.4473,1.01,
2025-02-12,1.4225,-1.71,
2025-02-13,1.425,0.18,
2025-02-16,1.4492,1.7,
2025-02-17,1.4261,-1.59,
2025-02-18,1.4531,1.89,
2025-02-19,1.4465,-0.45,
2025-02-20,1.5043,4.0,
2025-02-23,1.5103,0.4,
2025-02-24,1.4917,-1.23,
2025-02-25,1.5024,0.72,
2025-02-26,1.4766,-1.72,
2025-02-27,1.4361,-2.74,
2025-03-02,1.4162,-1.39,
2025-03-03,1.4213,0.36,
2025-03-04,1.4373,1.13,
2025-03-05,1.4582,1.45,
2025-03-06,1.4629,0.32,
2025-03-09,1.4587,-0.29,
2025-03-10,1.4661,0.51,
2025-03-11,1.4681,0.14,
2025-03-12,1.4465,-1.47,
2025-03-13,1.4662,1.36,
2025-03-16,1.4666,0.03,
2025-03-17,1.464,-0.18,
2025-03-18,1.4556,-0.57,
2025-03-19,1.4469,-0.6,
2025-03-20,1.4174,-2.04,
2025-03-23,1.4154,-0.14,
2025-03-24,1.4013,-1.0,
2025-03-25,1.406,0.34,
2025-03-26,1.3994,-0.47,
2025-03-27,1.4054,0.43,
2025-03-30,1.409,0.26,
2025-03-31,1.3973,-0.83,
2025-04-01,1.4024,0.36,
2025-04-02,1.3861,-1.16,
2025-04-06,1.2831,-7.43,
2025-04-07,1.2679,-1.18,
2025-04-08,1.2999,2.52,
2025-04-09,1.3606,4.67,
2025-04-10,1.3623,0.12,
2025-04-13,1.3782,1.17,
2025-04-14,1.3773,-0.07,
2025-04-15,1.3592,-1.31,
2025-04-16,1.3526,-0.49,
2025-04-17,1.339,-1.01,
2025-04-20,1.3764,2.79,
2025-04-21,1.3632,-0.96,
2025-04-22,1.3761,0.95,
2025-04-23,1.3689,-0.52,
2025-04-24,1.3657,-0.23,
2025-04-27,1.3612,-0.33,
2025-04-28,1.3699,0.64,
2025-04-29,1.3944,1.79,
2025-05-05,1.438,3.13,
2025-05-06,1.4318,-0.43,
2025-05-07,1.4363,0.31,
2025-05-08,1.4059,-2.12,
2025-05-11,1.418,0.86,
2025-05-12,1.4012,-1.18,
2025-05-13,1.3909,-0.74,
2025-05-14,1.3636,-1.96,
2025-05-15,1.3658,0.16,
2025-05-18,1.3629,-0.21,
2025-05-19,1.3761,0.97,
2025-05-20,1.377,0.07,
2025-05-21,1.3714,-0.41,
2025-05-22,1.3624,-0.66,
2025-05-25,1.3727,0.76,
2025-05-26,1.3589,-1.01,
2025-05-27,1.3651,0.46,
2025-05-28,1.373,0.58,
2025-05-29,1.3569,-1.17,
2025-06-02,1.365,0.6,
2025-06-03,1.39,1.83,
2025-06-04,1.4391,3.53,
2025-06-05,1.442,0.2,
2025-06-08,1.4482,0.43,
2025-06-09,1.4341,-0.97,
2025-06-10,1.4371,0.21,
2025-06-11,1.4565,1.35,
2025-06-12,1.4319,-1.69,
2025-06-15,1.4458,0.97,
2025-06-16,1.4344,-0.79,
2025-06-17,1.4724,2.65,
2025-06-18,1.4748,0.16,
2025-06-19,1.4429,-2.16,
2025-06-22,1.4387,-0.29,
2025-06-23,1.4552,1.15,
2025-06-24,1.4912,2.47,
2025-06-25,1.5011,0.66,
2025-06-26,1.5262,1.67,
2025-06-29,1.5507,1.61,
2025-06-30,1.5397,-0.71,
2025-07-01,1.5073,-2.1,
2025-07-02,1.5272,1.32,
2025-07-03,1.5125,-0.96,
2025-07-06,1.5019,-0.7,
2025-07-07,1.5589,3.8,
2025-07-08,1.5462,-0.81,
2025-07-09,1.5313,-0.96,
2025-07-10,1.5276,-0.24,
2025-07-13,1.555,1.79,
2025-07-14,1.6339,5.07,
2025-07-15,1.6695,2.18,
2025-07-16,1.7298,3.61,
2025-07-17,1.7204,-0.54,
2025-07-20,1.7358,0.9,
2025-07-21,1.738,0.13,
2025-07-22,1.74,0.12,
2025-07-23,1.7446,0.26,
2025-07-24,1.7503,0.33,
2025-07-27,1.7866,2.07,
2025-07-28,1.8466,3.36,
2025-07-29,1.8382,-0.45,
2025-07-30,1.8652,1.47,
2025-07-31,1.853,-0.65,
2025-08-03,1.8923,2.12,
2025-08-04,1.9133,1.11,
2025-08-05,1.9435,1.58,
2025-08-06,1.9229,-1.06,
2025-08-07,1.9402,0.9,
2025-08-10,1.9875,2.44,
2025-08-11,2.0617,3.73,
2025-08-12,2.165,5.01,
2025-08-13,2.1191,-2.12,
2025-08-14,2.1652,2.18,
2025-08-17,2.2202,2.54,
2025-08-18,2.2532,1.49,
2025-08-19,2.2475,-0.25,
2025-08-20,2.2219,-1.14,
2025-08-21,2.3051,3.74,
2025-08-24,2.4012,4.17,
2025-08-25,2.3718,-1.22,
2025-08-26,2.3895,0.75,
2025-08-27,2.5616,7.2,
2025-08-28,2.6059,1.73,
2025-08-31,2.6842,3.0,
2025-09-01,2.6075,-2.86,
2025-09-02,2.6114,0.15,
2025-09-03,2.4183,-7.39,
2025-09-04,2.5668,6.14,
2025-09-07,2.498,-2.68,
2025-09-08,2.4684,-1.18,
2025-09-09,2.5688,4.07,
2025-09-10,2.7617,7.51,
2025-09-11,2.7379,-0.86,
2025-09-14,2.6976,-1.47,
2025-09-15,2.7232,0.95,
2025-09-16,2.7247,0.06,
2025-09-17,2.7316,0.25,
2025-09-18,2.7025,-1.07,
2025-09-21,2.7754,2.7,
2025-09-22,2.7806,0.19,
2025-09-23,2.7873,0.24,
2025-09-24,2.826,1.39,
2025-09-25,2.718,-3.82,
2025-09-28,2.7459,1.03,
2025-09-29,2.7096,-1.32,
2025-10-08,2.6991,-0.39,
2025-10-09,2.5911,-4.0,
2025-10-12,2.5657,-0.98,
2025-10-13,2.4352,-5.09,
2025-10-14,2.496,2.5,
2025-10-15,2.5172,0.85,
2025-10-16,2.437,-3.19,
2025-10-19,2.4811,1.81,
2025-10-20,2.6192,5.57,
2025-10-21,2.6437,0.94,
2025-10-22,2.6083,-1.34,
2025-10-23,2.7558,5.66,
2025-10-26,2.8569,3.67,
2025-10-27,2.8185,-1.34,
2025-10-28,2.8773,2.09,
