,基金简称,优仓数目_所属基金数,优仓数目_被持仓市值,平均占比,基金代码,日增长率,近1周,近1月,近3月,近半年,近1年,近2年,近3年,今年来,成立来
22010,简称缺失,3,3,0,014985,,,,,,,,,,
22009,简称缺失,3,3,0,015039,,,,,,,,,,
22008,简称缺失,3,3,0,015144,,,,,,,,,,
22039,简称缺失,3,3,0,012734,,,,,,,,,,
22002,简称缺失,3,3,0,015690,,,,,,,,,,
22001,简称缺失,3,3,0,015751,,,,,,,,,,
22000,简称缺失,3,3,0,015868,,,,,,,,,,
21999,简称缺失,3,3,0,015877,,,,,,,,,,
21998,简称缺失,3,3,0,015947,,,,,,,,,,
21997,简称缺失,3,3,0,015968,,,,,,,,,,
21996,简称缺失,3,3,0,015971,,,,,,,,,,
21995,简称缺失,3,3,0,016049,,,,,,,,,,
21994,简称缺失,3,3,0,016068,,,,,,,,,,
21993,简称缺失,3,3,0,016238,,,,,,,,,,
21992,简称缺失,3,3,0,016283,,,,,,,,,,
6943,简称缺失,3,2,1,019548,,,,,,,,,,
6942,简称缺失,3,2,1,160424,,,,,,,,,,
6941,简称缺失,3,2,1,519022,,,,,,,,,,
6940,简称缺失,3,2,1,008888,,,,,,,,,,
22023,简称缺失,3,3,0,014143,,,,,,,,,,
6935,简称缺失,3,2,1,015389,,,,,,,,,,
6934,简称缺失,3,2,1,019514,,,,,,,,,,
6933,简称缺失,3,2,1,020398,,,,,,,,,,
6932,简称缺失,3,2,1,021031,,,,,,,,,,
6931,简称缺失,3,2,1,020635,,,,,,,,,,
6930,简称缺失,3,2,1,018957,,,,,,,,,,
6929,简称缺失,3,2,1,009645,,,,,,,,,,
6959,简称缺失,3,2,1,015868,,,,,,,,,,
6958,简称缺失,3,2,1,015877,,,,,,,,,,
6957,简称缺失,3,2,1,015947,,,,,,,,,,
6956,简称缺失,3,2,1,015968,,,,,,,,,,
22007,简称缺失,3,3,0,015454,,,,,,,,,,
22006,简称缺失,3,3,0,015508,,,,,,,,,,
22005,简称缺失,3,3,0,015642,,,,,,,,,,
22004,简称缺失,3,3,0,015683,,,,,,,,,,
22003,简称缺失,3,3,0,015686,,,,,,,,,,
6951,简称缺失,3,2,1,016283,,,,,,,,,,
6950,简称缺失,3,2,1,016371,,,,,,,,,,
6949,简称缺失,3,2,1,016465,,,,,,,,,,
6948,简称缺失,3,2,1,016600,,,,,,,,,,
6947,简称缺失,3,2,1,016616,,,,,,,,,,
6946,简称缺失,3,2,1,017437,,,,,,,,,,
6945,简称缺失,3,2,1,017811,,,,,,,,,,
6944,简称缺失,3,2,1,018994,,,,,,,,,,
6975,简称缺失,3,2,1,014544,,,,,,,,,,
6974,简称缺失,3,2,1,014642,,,,,,,,,,
6973,简称缺失,3,2,1,014662,,,,,,,,,,
6972,简称缺失,3,2,1,014728,,,,,,,,,,
6939,简称缺失,3,2,1,021500,,,,,,,,,,
6938,简称缺失,3,2,1,015857,,,,,,,,,,
6937,简称缺失,3,2,1,015290,,,,,,,,,,
6936,简称缺失,3,2,1,020662,,,,,,,,,,
6967,简称缺失,3,2,1,015144,,,,,,,,,,
6966,简称缺失,3,2,1,015454,,,,,,,,,,
6965,简称缺失,3,2,1,015508,,,,,,,,,,
6964,简称缺失,3,2,1,015642,,,,,,,,,,
6963,简称缺失,3,2,1,015683,,,,,,,,,,
6962,简称缺失,3,2,1,015686,,,,,,,,,,
6961,简称缺失,3,2,1,015690,,,,,,,,,,
6960,简称缺失,3,2,1,015751,,,,,,,,,,
6991,简称缺失,3,2,1,013311,,,,,,,,,,
6990,简称缺失,3,2,1,013340,,,,,,,,,,
6989,简称缺失,3,2,1,013466,,,,,,,,,,
6988,简称缺失,3,2,1,013533,,,,,,,,,,
6955,简称缺失,3,2,1,015971,,,,,,,,,,
6954,简称缺失,3,2,1,016049,,,,,,,,,,
6953,简称缺失,3,2,1,016068,,,,,,,,,,
6952,简称缺失,3,2,1,016238,,,,,,,,,,
6983,简称缺失,3,2,1,014130,,,,,,,,,,
6982,简称缺失,3,2,1,014143,,,,,,,,,,
6981,简称缺失,3,2,1,014156,,,,,,,,,,
6980,简称缺失,3,2,1,014162,,,,,,,,,,
6979,简称缺失,3,2,1,014243,,,,,,,,,,
6978,简称缺失,3,2,1,014320,,,,,,,,,,
6977,简称缺失,3,2,1,014345,,,,,,,,,,
6976,简称缺失,3,2,1,014377,,,,,,,,,,
7007,简称缺失,3,2,1,011613,,,,,,,,,,
7006,简称缺失,3,2,1,011615,,,,,,,,,,
7005,简称缺失,3,2,1,011840,,,,,,,,,,
7004,简称缺失,3,2,1,011892,,,,,,,,,,
6971,简称缺失,3,2,1,014855,,,,,,,,,,
6970,简称缺失,3,2,1,014954,,,,,,,,,,
6969,简称缺失,3,2,1,014985,,,,,,,,,,
6968,简称缺失,3,2,1,015039,,,,,,,,,,
6999,简称缺失,3,2,1,012651,,,,,,,,,,
6998,简称缺失,3,2,1,012734,,,,,,,,,,
6997,简称缺失,3,2,1,012895,,,,,,,,,,
6996,简称缺失,3,2,1,012908,,,,,,,,,,
6995,简称缺失,3,2,1,012970,,,,,,,,,,
6994,简称缺失,3,2,1,013010,,,,,,,,,,
6993,简称缺失,3,2,1,013277,,,,,,,,,,
6992,简称缺失,3,2,1,013305,,,,,,,,,,
7023,简称缺失,3,2,1,011036,,,,,,,,,,
7022,简称缺失,3,2,1,011068,,,,,,,,,,
7021,简称缺失,3,2,1,011117,,,,,,,,,,
7020,简称缺失,3,2,1,011120,,,,,,,,,,
6987,简称缺失,3,2,1,013620,,,,,,,,,,
6986,简称缺失,3,2,1,013642,,,,,,,,,,
6985,简称缺失,3,2,1,013811,,,,,,,,,,
6984,简称缺失,3,2,1,013841,,,,,,,,,,
7015,简称缺失,3,2,1,011329,,,,,,,,,,
7014,简称缺失,3,2,1,011370,,,,,,,,,,
7013,简称缺失,3,2,1,011400,,,,,,,,,,
7012,简称缺失,3,2,1,011412,,,,,,,,,,
7011,简称缺失,3,2,1,011452,,,,,,,,,,
7010,简称缺失,3,2,1,011499,,,,,,,,,,
7009,简称缺失,3,2,1,011584,,,,,,,,,,
7008,简称缺失,3,2,1,011609,,,,,,,,,,
7039,简称缺失,3,2,1,009034,,,,,,,,,,
7038,简称缺失,3,2,1,009478,,,,,,,,,,
7037,简称缺失,3,2,1,009505,,,,,,,,,,
7036,简称缺失,3,2,1,009708,,,,,,,,,,
7003,简称缺失,3,2,1,012125,,,,,,,,,,
7002,简称缺失,3,2,1,012429,,,,,,,,,,
7001,简称缺失,3,2,1,012553,,,,,,,,,,
7000,简称缺失,3,2,1,012630,,,,,,,,,,
7031,简称缺失,3,2,1,010236,,,,,,,,,,
7030,简称缺失,3,2,1,010372,,,,,,,,,,
7029,简称缺失,3,2,1,010392,,,,,,,,,,
7028,简称缺失,3,2,1,010422,,,,,,,,,,
7027,简称缺失,3,2,1,010655,,,,,,,,,,
7026,简称缺失,3,2,1,010791,,,,,,,,,,
7025,简称缺失,3,2,1,010827,,,,,,,,,,
7024,简称缺失,3,2,1,010865,,,,,,,,,,
7055,简称缺失,3,2,1,007818,,,,,,,,,,
7054,简称缺失,3,2,1,007950,,,,,,,,,,
7053,简称缺失,3,2,1,008021,,,,,,,,,,
7052,简称缺失,3,2,1,008087,,,,,,,,,,
7019,简称缺失,3,2,1,011145,,,,,,,,,,
7018,简称缺失,3,2,1,011237,,,,,,,,,,
7017,简称缺失,3,2,1,011301,,,,,,,,,,
7016,简称缺失,3,2,1,011306,,,,,,,,,,
7047,简称缺失,3,2,1,008327,,,,,,,,,,
7046,简称缺失,3,2,1,008419,,,,,,,,,,
7045,简称缺失,3,2,1,008532,,,,,,,,,,
7044,简称缺失,3,2,1,008586,,,,,,,,,,
7043,简称缺失,3,2,1,008920,,,,,,,,,,
7042,简称缺失,3,2,1,008981,,,,,,,,,,
7041,简称缺失,3,2,1,008987,,,,,,,,,,
7040,简称缺失,3,2,1,008989,,,,,,,,,,
7071,简称缺失,3,2,1,005763,,,,,,,,,,
7070,简称缺失,3,2,1,005919,,,,,,,,,,
7069,简称缺失,3,2,1,005963,,,,,,,,,,
7068,简称缺失,3,2,1,006249,,,,,,,,,,
7035,简称缺失,3,2,1,009727,,,,,,,,,,
7034,简称缺失,3,2,1,009995,,,,,,,,,,
7033,简称缺失,3,2,1,010004,,,,,,,,,,
7032,简称缺失,3,2,1,010214,,,,,,,,,,
7063,简称缺失,3,2,1,007029,,,,,,,,,,
7062,简称缺失,3,2,1,007127,,,,,,,,,,
7061,简称缺失,3,2,1,007301,,,,,,,,,,
7060,简称缺失,3,2,1,007356,,,,,,,,,,
7059,简称缺失,3,2,1,007450,,,,,,,,,,
7058,简称缺失,3,2,1,007465,,,,,,,,,,
7057,简称缺失,3,2,1,007491,,,,,,,,,,
7056,简称缺失,3,2,1,007509,,,,,,,,,,
7087,简称缺失,3,2,1,002170,,,,,,,,,,
7086,简称缺失,3,2,1,002207,,,,,,,,,,
7085,简称缺失,3,2,1,003305,,,,,,,,,,
7084,简称缺失,3,2,1,003766,,,,,,,,,,
7051,简称缺失,3,2,1,008182,,,,,,,,,,
7050,简称缺失,3,2,1,008187,,,,,,,,,,
7049,简称缺失,3,2,1,008282,,,,,,,,,,
7048,简称缺失,3,2,1,008319,,,,,,,,,,
7083,简称缺失,3,2,1,004195,,,,,,,,,,
7082,简称缺失,3,2,1,004235,,,,,,,,,,
7081,简称缺失,3,2,1,004237,,,,,,,,,,
7080,简称缺失,3,2,1,004241,,,,,,,,,,
7079,简称缺失,3,2,1,004343,,,,,,,,,,
7078,简称缺失,3,2,1,004348,,,,,,,,,,
7077,简称缺失,3,2,1,004433,,,,,,,,,,
7076,简称缺失,3,2,1,004744,,,,,,,,,,
7075,简称缺失,3,2,1,004815,,,,,,,,,,
7074,简称缺失,3,2,1,005300,,,,,,,,,,
7073,简称缺失,3,2,1,005491,,,,,,,,,,
7072,简称缺失,3,2,1,005633,,,,,,,,,,
7067,简称缺失,3,2,1,006328,,,,,,,,,,
7066,简称缺失,3,2,1,006503,,,,,,,,,,
7065,简称缺失,3,2,1,006594,,,,,,,,,,
7064,简称缺失,3,2,1,006888,,,,,,,,,,
21991,简称缺失,3,3,0,016371,,,,,,,,,,
21990,简称缺失,3,3,0,016465,,,,,,,,,,
21989,简称缺失,3,3,0,016600,,,,,,,,,,
21988,简称缺失,3,3,0,016616,,,,,,,,,,
21987,简称缺失,3,3,0,017437,,,,,,,,,,
21986,简称缺失,3,3,0,017811,,,,,,,,,,
21985,简称缺失,3,3,0,018994,,,,,,,,,,
21984,简称缺失,3,3,0,019548,,,,,,,,,,
17583,简称缺失,3,4,1,020662,,,,,,,,,,
17582,简称缺失,3,4,1,015389,,,,,,,,,,
17581,简称缺失,3,4,1,019514,,,,,,,,,,
17580,简称缺失,3,4,1,020398,,,,,,,,,,
17579,简称缺失,3,4,1,021031,,,,,,,,,,
17578,简称缺失,3,4,1,020635,,,,,,,,,,
17577,简称缺失,3,4,1,018957,,,,,,,,,,
17576,简称缺失,3,4,1,009645,,,,,,,,,,
17589,简称缺失,3,4,1,160424,,,,,,,,,,
17588,简称缺失,3,4,1,519022,,,,,,,,,,
17587,简称缺失,3,4,1,008888,,,,,,,,,,
17586,简称缺失,3,4,1,021500,,,,,,,,,,
17585,简称缺失,3,4,1,015857,,,,,,,,,,
17584,简称缺失,3,4,1,015290,,,,,,,,,,
7097,简称缺失,3,2,1,001301,,,,,,,,,,
7096,简称缺失,3,2,1,001407,,,,,,,,,,
7095,简称缺失,3,2,1,001557,,,,,,,,,,
7094,简称缺失,3,2,1,001593,,,,,,,,,,
7093,简称缺失,3,2,1,001618,,,,,,,,,,
7092,简称缺失,3,2,1,001770,,,,,,,,,,
7091,简称缺失,3,2,1,002036,,,,,,,,,,
7090,简称缺失,3,2,1,002052,,,,,,,,,,
7089,简称缺失,3,2,1,002096,,,,,,,,,,
7088,简称缺失,3,2,1,002112,,,,,,,,,,
17605,简称缺失,3,4,1,015877,,,,,,,,,,
17604,简称缺失,3,4,1,015947,,,,,,,,,,
17603,简称缺失,3,4,1,015968,,,,,,,,,,
17602,简称缺失,3,4,1,015971,,,,,,,,,,
17601,简称缺失,3,4,1,016049,,,,,,,,,,
17600,简称缺失,3,4,1,016068,,,,,,,,,,
17599,简称缺失,3,4,1,016238,,,,,,,,,,
17598,简称缺失,3,4,1,016283,,,,,,,,,,
17597,简称缺失,3,4,1,016371,,,,,,,,,,
17596,简称缺失,3,4,1,016465,,,,,,,,,,
17595,简称缺失,3,4,1,016600,,,,,,,,,,
17594,简称缺失,3,4,1,016616,,,,,,,,,,
17593,简称缺失,3,4,1,017437,,,,,,,,,,
17592,简称缺失,3,4,1,017811,,,,,,,,,,
17591,简称缺失,3,4,1,018994,,,,,,,,,,
17590,简称缺失,3,4,1,019548,,,,,,,,,,
17621,简称缺失,3,4,1,014642,,,,,,,,,,
17620,简称缺失,3,4,1,014662,,,,,,,,,,
17619,简称缺失,3,4,1,014728,,,,,,,,,,
17618,简称缺失,3,4,1,014855,,,,,,,,,,
17617,简称缺失,3,4,1,014954,,,,,,,,,,
17616,简称缺失,3,4,1,014985,,,,,,,,,,
17615,简称缺失,3,4,1,015039,,,,,,,,,,
17614,简称缺失,3,4,1,015144,,,,,,,,,,
17613,简称缺失,3,4,1,015454,,,,,,,,,,
17612,简称缺失,3,4,1,015508,,,,,,,,,,
17611,简称缺失,3,4,1,015642,,,,,,,,,,
17610,简称缺失,3,4,1,015683,,,,,,,,,,
17609,简称缺失,3,4,1,015686,,,,,,,,,,
17608,简称缺失,3,4,1,015690,,,,,,,,,,
17607,简称缺失,3,4,1,015751,,,,,,,,,,
17606,简称缺失,3,4,1,015868,,,,,,,,,,
17637,简称缺失,3,4,1,013340,,,,,,,,,,
17636,简称缺失,3,4,1,013466,,,,,,,,,,
17635,简称缺失,3,4,1,013533,,,,,,,,,,
17634,简称缺失,3,4,1,013620,,,,,,,,,,
17633,简称缺失,3,4,1,013642,,,,,,,,,,
17632,简称缺失,3,4,1,013811,,,,,,,,,,
17631,简称缺失,3,4,1,013841,,,,,,,,,,
17630,简称缺失,3,4,1,014130,,,,,,,,,,
17629,简称缺失,3,4,1,014143,,,,,,,,,,
17628,简称缺失,3,4,1,014156,,,,,,,,,,
17627,简称缺失,3,4,1,014162,,,,,,,,,,
17626,简称缺失,3,4,1,014243,,,,,,,,,,
17625,简称缺失,3,4,1,014320,,,,,,,,,,
17624,简称缺失,3,4,1,014345,,,,,,,,,,
17623,简称缺失,3,4,1,014377,,,,,,,,,,
17622,简称缺失,3,4,1,014544,,,,,,,,,,
17653,简称缺失,3,4,1,011615,,,,,,,,,,
17652,简称缺失,3,4,1,011840,,,,,,,,,,
17651,简称缺失,3,4,1,011892,,,,,,,,,,
17650,简称缺失,3,4,1,012125,,,,,,,,,,
17649,简称缺失,3,4,1,012429,,,,,,,,,,
17648,简称缺失,3,4,1,012553,,,,,,,,,,
17647,简称缺失,3,4,1,012630,,,,,,,,,,
17646,简称缺失,3,4,1,012651,,,,,,,,,,
17645,简称缺失,3,4,1,012734,,,,,,,,,,
17644,简称缺失,3,4,1,012895,,,,,,,,,,
17643,简称缺失,3,4,1,012908,,,,,,,,,,
17642,简称缺失,3,4,1,012970,,,,,,,,,,
17641,简称缺失,3,4,1,013010,,,,,,,,,,
17640,简称缺失,3,4,1,013277,,,,,,,,,,
17639,简称缺失,3,4,1,013305,,,,,,,,,,
17638,简称缺失,3,4,1,013311,,,,,,,,,,
17669,简称缺失,3,4,1,011068,,,,,,,,,,
17668,简称缺失,3,4,1,011117,,,,,,,,,,
17667,简称缺失,3,4,1,011120,,,,,,,,,,
17666,简称缺失,3,4,1,011145,,,,,,,,,,
17665,简称缺失,3,4,1,011237,,,,,,,,,,
17664,简称缺失,3,4,1,011301,,,,,,,,,,
17663,简称缺失,3,4,1,011306,,,,,,,,,,
17662,简称缺失,3,4,1,011329,,,,,,,,,,
17661,简称缺失,3,4,1,011370,,,,,,,,,,
17660,简称缺失,3,4,1,011400,,,,,,,,,,
17659,简称缺失,3,4,1,011412,,,,,,,,,,
17658,简称缺失,3,4,1,011452,,,,,,,,,,
17657,简称缺失,3,4,1,011499,,,,,,,,,,
17656,简称缺失,3,4,1,011584,,,,,,,,,,
17655,简称缺失,3,4,1,011609,,,,,,,,,,
17654,简称缺失,3,4,1,011613,,,,,,,,,,
17685,简称缺失,3,4,1,009478,,,,,,,,,,
17684,简称缺失,3,4,1,009505,,,,,,,,,,
17683,简称缺失,3,4,1,009708,,,,,,,,,,
17682,简称缺失,3,4,1,009727,,,,,,,,,,
17681,简称缺失,3,4,1,009995,,,,,,,,,,
17680,简称缺失,3,4,1,010004,,,,,,,,,,
17679,简称缺失,3,4,1,010214,,,,,,,,,,
17678,简称缺失,3,4,1,010236,,,,,,,,,,
17677,简称缺失,3,4,1,010372,,,,,,,,,,
17676,简称缺失,3,4,1,010392,,,,,,,,,,
17675,简称缺失,3,4,1,010422,,,,,,,,,,
17674,简称缺失,3,4,1,010655,,,,,,,,,,
17673,简称缺失,3,4,1,010791,,,,,,,,,,
17672,简称缺失,3,4,1,010827,,,,,,,,,,
17671,简称缺失,3,4,1,010865,,,,,,,,,,
17670,简称缺失,3,4,1,011036,,,,,,,,,,
17701,简称缺失,3,4,1,007950,,,,,,,,,,
17700,简称缺失,3,4,1,008021,,,,,,,,,,
17699,简称缺失,3,4,1,008087,,,,,,,,,,
17698,简称缺失,3,4,1,008182,,,,,,,,,,
17697,简称缺失,3,4,1,008187,,,,,,,,,,
17696,简称缺失,3,4,1,008282,,,,,,,,,,
17695,简称缺失,3,4,1,008319,,,,,,,,,,
17694,简称缺失,3,4,1,008327,,,,,,,,,,
17693,简称缺失,3,4,1,008419,,,,,,,,,,
17692,简称缺失,3,4,1,008532,,,,,,,,,,
17691,简称缺失,3,4,1,008586,,,,,,,,,,
17690,简称缺失,3,4,1,008920,,,,,,,,,,
17689,简称缺失,3,4,1,008981,,,,,,,,,,
17688,简称缺失,3,4,1,008987,,,,,,,,,,
17687,简称缺失,3,4,1,008989,,,,,,,,,,
17686,简称缺失,3,4,1,009034,,,,,,,,,,
17717,简称缺失,3,4,1,005919,,,,,,,,,,
17716,简称缺失,3,4,1,005963,,,,,,,,,,
17715,简称缺失,3,4,1,006249,,,,,,,,,,
17714,简称缺失,3,4,1,006328,,,,,,,,,,
17713,简称缺失,3,4,1,006503,,,,,,,,,,
17712,简称缺失,3,4,1,006594,,,,,,,,,,
17711,简称缺失,3,4,1,006888,,,,,,,,,,
17710,简称缺失,3,4,1,007029,,,,,,,,,,
17709,简称缺失,3,4,1,007127,,,,,,,,,,
17708,简称缺失,3,4,1,007301,,,,,,,,,,
17707,简称缺失,3,4,1,007356,,,,,,,,,,
17706,简称缺失,3,4,1,007450,,,,,,,,,,
17705,简称缺失,3,4,1,007465,,,,,,,,,,
17704,简称缺失,3,4,1,007491,,,,,,,,,,
17703,简称缺失,3,4,1,007509,,,,,,,,,,
17702,简称缺失,3,4,1,007818,,,,,,,,,,
17733,简称缺失,3,4,1,002207,,,,,,,,,,
17732,简称缺失,3,4,1,003305,,,,,,,,,,
17731,简称缺失,3,4,1,003766,,,,,,,,,,
17730,简称缺失,3,4,1,004195,,,,,,,,,,
17729,简称缺失,3,4,1,004235,,,,,,,,,,
17728,简称缺失,3,4,1,004237,,,,,,,,,,
17727,简称缺失,3,4,1,004241,,,,,,,,,,
17726,简称缺失,3,4,1,004343,,,,,,,,,,
17725,简称缺失,3,4,1,004348,,,,,,,,,,
17724,简称缺失,3,4,1,004433,,,,,,,,,,
17723,简称缺失,3,4,1,004744,,,,,,,,,,
17722,简称缺失,3,4,1,004815,,,,,,,,,,
17721,简称缺失,3,4,1,005300,,,,,,,,,,
17720,简称缺失,3,4,1,005491,,,,,,,,,,
17719,简称缺失,3,4,1,005633,,,,,,,,,,
17718,简称缺失,3,4,1,005763,,,,,,,,,,
21975,简称缺失,3,3,0,019514,,,,,,,,,,
21974,简称缺失,3,3,0,020398,,,,,,,,,,
21973,简称缺失,3,3,0,021031,,,,,,,,,,
21972,简称缺失,3,3,0,020635,,,,,,,,,,
21971,简称缺失,3,3,0,018957,,,,,,,,,,
21970,简称缺失,3,3,0,009645,,,,,,,,,,
17743,简称缺失,3,4,1,001407,,,,,,,,,,
17742,简称缺失,3,4,1,001557,,,,,,,,,,
17741,简称缺失,3,4,1,001593,,,,,,,,,,
17740,简称缺失,3,4,1,001618,,,,,,,,,,
17739,简称缺失,3,4,1,001770,,,,,,,,,,
17738,简称缺失,3,4,1,002036,,,,,,,,,,
17737,简称缺失,3,4,1,002052,,,,,,,,,,
17736,简称缺失,3,4,1,002096,,,,,,,,,,
17735,简称缺失,3,4,1,002112,,,,,,,,,,
17734,简称缺失,3,4,1,002170,,,,,,,,,,
26877,简称缺失,3,3,0,015389,,,,,,,,,,
26876,简称缺失,3,3,0,019514,,,,,,,,,,
26875,简称缺失,3,3,0,020398,,,,,,,,,,
26874,简称缺失,3,3,0,021031,,,,,,,,,,
26873,简称缺失,3,3,0,020635,,,,,,,,,,
26872,简称缺失,3,3,0,018957,,,,,,,,,,
26871,简称缺失,3,3,0,009645,,,,,,,,,,
17744,简称缺失,3,4,1,001301,,,,,,,,,,
21983,简称缺失,3,3,0,160424,,,,,,,,,,
21982,简称缺失,3,3,0,519022,,,,,,,,,,
21981,简称缺失,3,3,0,008888,,,,,,,,,,
21980,简称缺失,3,3,0,021500,,,,,,,,,,
21979,简称缺失,3,3,0,015857,,,,,,,,,,
21978,简称缺失,3,3,0,015290,,,,,,,,,,
21977,简称缺失,3,3,0,020662,,,,,,,,,,
21976,简称缺失,3,3,0,015389,,,,,,,,,,
26911,简称缺失,3,3,0,014985,,,,,,,,,,
26910,简称缺失,3,3,0,015039,,,,,,,,,,
26881,简称缺失,3,3,0,021500,,,,,,,,,,
26880,简称缺失,3,3,0,015857,,,,,,,,,,
26899,简称缺失,3,3,0,015947,,,,,,,,,,
26898,简称缺失,3,3,0,015968,,,,,,,,,,
26897,简称缺失,3,3,0,015971,,,,,,,,,,
26896,简称缺失,3,3,0,016049,,,,,,,,,,
26887,简称缺失,3,3,0,017811,,,,,,,,,,
26886,简称缺失,3,3,0,018994,,,,,,,,,,
26885,简称缺失,3,3,0,019548,,,,,,,,,,
26884,简称缺失,3,3,0,160424,,,,,,,,,,
26883,简称缺失,3,3,0,519022,,,,,,,,,,
26882,简称缺失,3,3,0,008888,,,,,,,,,,
26879,简称缺失,3,3,0,015290,,,,,,,,,,
26878,简称缺失,3,3,0,020662,,,,,,,,,,
26929,简称缺失,3,3,0,013620,,,,,,,,,,
26928,简称缺失,3,3,0,013642,,,,,,,,,,
26927,简称缺失,3,3,0,013811,,,,,,,,,,
26926,简称缺失,3,3,0,013841,,,,,,,,,,
26895,简称缺失,3,3,0,016068,,,,,,,,,,
26894,简称缺失,3,3,0,016238,,,,,,,,,,
26893,简称缺失,3,3,0,016283,,,,,,,,,,
26892,简称缺失,3,3,0,016371,,,,,,,,,,
26891,简称缺失,3,3,0,016465,,,,,,,,,,
26890,简称缺失,3,3,0,016600,,,,,,,,,,
26889,简称缺失,3,3,0,016616,,,,,,,,,,
26888,简称缺失,3,3,0,017437,,,,,,,,,,
26915,简称缺失,3,3,0,014662,,,,,,,,,,
26914,简称缺失,3,3,0,014728,,,,,,,,,,
26913,简称缺失,3,3,0,014855,,,,,,,,,,
26912,简称缺失,3,3,0,014954,,,,,,,,,,
26945,简称缺失,3,3,0,012125,,,,,,,,,,
26944,简称缺失,3,3,0,012429,,,,,,,,,,
26943,简称缺失,3,3,0,012553,,,,,,,,,,
26942,简称缺失,3,3,0,012630,,,,,,,,,,
26909,简称缺失,3,3,0,015144,,,,,,,,,,
26908,简称缺失,3,3,0,015454,,,,,,,,,,
26907,简称缺失,3,3,0,015508,,,,,,,,,,
26906,简称缺失,3,3,0,015642,,,,,,,,,,
26905,简称缺失,3,3,0,015683,,,,,,,,,,
26904,简称缺失,3,3,0,015686,,,,,,,,,,
26903,简称缺失,3,3,0,015690,,,,,,,,,,
26902,简称缺失,3,3,0,015751,,,,,,,,,,
26901,简称缺失,3,3,0,015868,,,,,,,,,,
26900,简称缺失,3,3,0,015877,,,,,,,,,,
26931,简称缺失,3,3,0,013466,,,,,,,,,,
26930,简称缺失,3,3,0,013533,,,,,,,,,,
26961,简称缺失,3,3,0,011145,,,,,,,,,,
26960,简称缺失,3,3,0,011237,,,,,,,,,,
26959,简称缺失,3,3,0,011301,,,,,,,,,,
26958,简称缺失,3,3,0,011306,,,,,,,,,,
26925,简称缺失,3,3,0,014130,,,,,,,,,,
26924,简称缺失,3,3,0,014143,,,,,,,,,,
26923,简称缺失,3,3,0,014156,,,,,,,,,,
26922,简称缺失,3,3,0,014162,,,,,,,,,,
26921,简称缺失,3,3,0,014243,,,,,,,,,,
26920,简称缺失,3,3,0,014320,,,,,,,,,,
26919,简称缺失,3,3,0,014345,,,,,,,,,,
26918,简称缺失,3,3,0,014377,,,,,,,,,,
26917,简称缺失,3,3,0,014544,,,,,,,,,,
26916,简称缺失,3,3,0,014642,,,,,,,,,,
26947,简称缺失,3,3,0,011840,,,,,,,,,,
26946,简称缺失,3,3,0,011892,,,,,,,,,,
26977,简称缺失,3,3,0,009727,,,,,,,,,,
26976,简称缺失,3,3,0,009995,,,,,,,,,,
26975,简称缺失,3,3,0,010004,,,,,,,,,,
26974,简称缺失,3,3,0,010214,,,,,,,,,,
26941,简称缺失,3,3,0,012651,,,,,,,,,,
26940,简称缺失,3,3,0,012734,,,,,,,,,,
26939,简称缺失,3,3,0,012895,,,,,,,,,,
26938,简称缺失,3,3,0,012908,,,,,,,,,,
26937,简称缺失,3,3,0,012970,,,,,,,,,,
26936,简称缺失,3,3,0,013010,,,,,,,,,,
26935,简称缺失,3,3,0,013277,,,,,,,,,,
26934,简称缺失,3,3,0,013305,,,,,,,,,,
26933,简称缺失,3,3,0,013311,,,,,,,,,,
26932,简称缺失,3,3,0,013340,,,,,,,,,,
26963,简称缺失,3,3,0,011117,,,,,,,,,,
26962,简称缺失,3,3,0,011120,,,,,,,,,,
26993,简称缺失,3,3,0,008182,,,,,,,,,,
26992,简称缺失,3,3,0,008187,,,,,,,,,,
26991,简称缺失,3,3,0,008282,,,,,,,,,,
26990,简称缺失,3,3,0,008319,,,,,,,,,,
26957,简称缺失,3,3,0,011329,,,,,,,,,,
26956,简称缺失,3,3,0,011370,,,,,,,,,,
26955,简称缺失,3,3,0,011400,,,,,,,,,,
26954,简称缺失,3,3,0,011412,,,,,,,,,,
26953,简称缺失,3,3,0,011452,,,,,,,,,,
26952,简称缺失,3,3,0,011499,,,,,,,,,,
26951,简称缺失,3,3,0,011584,,,,,,,,,,
26950,简称缺失,3,3,0,011609,,,,,,,,,,
26949,简称缺失,3,3,0,011613,,,,,,,,,,
26948,简称缺失,3,3,0,011615,,,,,,,,,,
26979,简称缺失,3,3,0,009505,,,,,,,,,,
26978,简称缺失,3,3,0,009708,,,,,,,,,,
27009,简称缺失,3,3,0,006328,,,,,,,,,,
27008,简称缺失,3,3,0,006503,,,,,,,,,,
27007,简称缺失,3,3,0,006594,,,,,,,,,,
27006,简称缺失,3,3,0,006888,,,,,,,,,,
26973,简称缺失,3,3,0,010236,,,,,,,,,,
26972,简称缺失,3,3,0,010372,,,,,,,,,,
26971,简称缺失,3,3,0,010392,,,,,,,,,,
26970,简称缺失,3,3,0,010422,,,,,,,,,,
26969,简称缺失,3,3,0,010655,,,,,,,,,,
26968,简称缺失,3,3,0,010791,,,,,,,,,,
26967,简称缺失,3,3,0,010827,,,,,,,,,,
26966,简称缺失,3,3,0,010865,,,,,,,,,,
26965,简称缺失,3,3,0,011036,,,,,,,,,,
