基金代码,基金简称,股票简称,占净值比例,持股数_万,持仓市值_万
014162,简称缺失,兴森科技,6.29,807.85,17869.64
014162,简称缺失,天孚通信,5.66,95.81,16076.58
014162,简称缺失,盛科通信,5.19,116.53,14743.58
014162,简称缺失,中科曙光,5.12,121.99,14547.31
013620,简称缺失,分众传媒,4.71,3828.53,30857.93
013620,简称缺失,中兴通讯,4.65,667.48,30463.77
013620,简称缺失,寒武纪,4.38,21.67,28708.38
013620,简称缺失,中国平安,4.31,511.95,28213.56
013620,简称缺失,中芯国际,4.11,192.03,26908.73
013620,简称缺失,天孚通信,3.98,155.43,26081.36
013620,简称缺失,华虹公司,3.95,226.03,25894.25
013620,简称缺失,浪潮信息,3.35,294.95,21950.33
013620,简称缺失,昆仑万维,3.27,441.2,21437.91
013620,简称缺失,南方传媒,2.91,1453.48,19098.67
013811,简称缺失,华电新能,0.06,25.46,134.15
013811,简称缺失,屹唐股份,0.0,0.35,8.24
013811,简称缺失,汉邦科技,0.0,0.02,0.89
013811,简称缺失,威高血净,0.0,0.02,0.77
013811,简称缺失,天富龙,0.0,0.02,0.56
013811,简称缺失,技源集团,0.0,0.02,0.35
013811,简称缺失,海阳科技,0.0,0.01,0.35
013811,简称缺失,华新精科,0.0,0.01,0.32
014156,简称缺失,胜宏科技,1.34,16.69,4765.0
014156,简称缺失,高德红外,1.14,328.29,4054.35
014156,简称缺失,中科创达,1.14,52.14,4050.24
014156,简称缺失,广东宏大,1.14,91.83,4049.7
014156,简称缺失,芯联集成,1.12,602.67,3965.58
014156,简称缺失,全志科技,1.01,69.42,3597.5
014156,简称缺失,四川长虹,1.01,342.59,3586.92
014156,简称缺失,长川科技,1.0,35.75,3561.42
014156,简称缺失,中金岭南,0.99,618.96,3528.06
014156,简称缺失,光弘科技,0.97,118.09,3450.51
013340,简称缺失,中芯国际,8.77,61.73,8650.08
013340,简称缺失,海光信息,7.15,27.92,7052.57
013340,简称缺失,中微公司,6.77,22.35,6683.47
013340,简称缺失,恒玄科技,6.32,20.97,6238.63
013340,简称缺失,乐鑫科技,6.04,27.49,5961.5
013340,简称缺失,光库科技,4.74,39.38,4678.34
013340,简称缺失,盛美上海,4.72,23.09,4659.8
013340,简称缺失,江波龙,4.7,26.07,4640.9
013340,简称缺失,瑞芯微,4.34,19.0,4285.45
013340,简称缺失,长川科技,4.14,41.0,4084.42
013305,简称缺失,智飞生物,0.0,0.27,9.01
013305,简称缺失,铜冠矿建,0.0,0.04,0.17
012970,简称缺失,紫光国微,0.04,0.24,31.64
012970,简称缺失,晶盛机电,0.02,0.21,13.35
013277,简称缺失,平安电工,0.0,0.02,0.42
013533,简称缺失,杰普特,8.48,284.91,40277.06
013533,简称缺失,协创数据,8.42,219.76,39993.39
013533,简称缺失,新泉股份,7.81,447.09,37126.09
013533,简称缺失,巨人网络,6.92,728.18,32899.17
013533,简称缺失,长盈精密,5.9,672.62,28034.8
013533,简称缺失,广东宏大,5.74,618.66,27282.76
013533,简称缺失,德明利,5.12,118.73,24302.84
013533,简称缺失,寒武纪,4.75,17.02,22549.38
013533,简称缺失,华丰科技,4.53,218.77,21527.02
013533,简称缺失,美湖股份,4.48,478.11,21285.28
012922,简称缺失,台积电,6.75,20.31,40301.72
012922,简称缺失,英伟达,6.65,29.94,39693.58
012922,简称缺失,谷歌-A,5.13,17.73,30626.38
012922,简称缺失,博通,4.65,11.85,27777.07
012922,简称缺失,天弘科技,3.66,12.5,21883.16
012922,简称缺失,阿里巴巴-W,3.47,128.08,20697.4
012922,简称缺失,美光科技,3.23,16.24,19305.59
012922,简称缺失,欣旺达,2.82,498.56,16846.41
012922,简称缺失,聚辰股份,2.82,103.67,16843.87
012922,简称缺失,澜起科技,2.79,107.54,16647.32
012908,简称缺失,奥美森,0.0,0.03,0.25
012908,简称缺失,长江能科,0.0,0.03,0.16
013466,简称缺失,澜起科技,8.14,140.19,21700.75
013466,简称缺失,宁德时代,7.79,51.69,20777.77
013466,简称缺失,乐鑫科技,7.41,91.1,19755.6
013466,简称缺失,翱捷科技,5.51,132.88,14682.71
013466,简称缺失,中国平安,1.99,96.48,5317.01
013466,简称缺失,分众传媒,1.95,644.43,5194.12
013466,简称缺失,巨人网络,1.82,107.57,4860.01
013466,简称缺失,绿联科技,1.66,69.21,4427.76
013466,简称缺失,恺英网络,1.6,151.69,4259.46
013466,简称缺失,中信证券,1.52,135.77,4059.6
013642,简称缺失,宁德时代,3.92,52.31,21029.26
013642,简称缺失,中兴通讯,1.36,159.77,7291.9
013642,简称缺失,汇川技术,1.24,79.21,6639.19
013642,简称缺失,海康威视,1.22,207.31,6534.5
013642,简称缺失,同花顺,1.03,14.85,5520.38
013642,简称缺失,生益科技,1.0,98.97,5346.36
013642,简称缺失,瑞芯微,0.96,22.74,5129.01
013642,简称缺失,寒武纪,0.94,3.82,5059.38
013642,简称缺失,紫光国微,0.94,55.96,5053.75
013642,简称缺失,深信服,0.87,37.38,4691.19
012895,简称缺失,宁德时代,0.29,2.08,836.16
012895,简称缺失,阳光电源,0.26,4.6,745.11
012895,简称缺失,新易盛,0.23,1.8,658.39
012895,简称缺失,中际旭创,0.23,1.62,653.96
012895,简称缺失,汇川技术,0.2,6.88,576.68
012895,简称缺失,迈瑞医疗,0.17,2.04,501.21
012895,简称缺失,胜宏科技,0.11,1.11,316.91
012895,简称缺失,泰格医药,0.09,4.28,248.24
012895,简称缺失,康龙化成,0.08,6.56,234.52
012895,简称缺失,亿纬锂能,0.07,2.08,189.28
012734,简称缺失,寒武纪,0.14,1.14,1506.26
012734,简称缺失,新易盛,0.14,4.0,1464.76
012734,简称缺失,中际旭创,0.14,3.6,1453.25
012734,简称缺失,澜起科技,0.09,6.23,965.13
012734,简称缺失,中科曙光,0.09,7.98,951.62
012734,简称缺失,豪威集团,0.07,4.65,702.56
012734,简称缺失,科大讯飞,0.05,9.2,515.66
012734,简称缺失,海康威视,0.04,14.8,466.5
012734,简称缺失,金山办公,0.04,1.26,399.2
012734,简称缺失,芯原股份,0.03,1.91,349.42
012630,简称缺失,北方华创,0.01,0.05,22.62
012630,简称缺失,紫光国微,0.0,0.08,7.22
012630,简称缺失,通富微电,0.0,0.14,5.62
012630,简称缺失,圣邦股份,0.0,0.05,4.16
012630,简称缺失,卓胜微,0.0,0.05,4.16
012630,简称缺失,华天科技,0.0,0.33,3.89
012630,简称缺失,华大九天,0.0,0.03,3.79
012630,简称缺失,晶盛机电,0.0,0.08,3.64
012630,简称缺失,北京君正,0.0,0.04,3.56
012630,简称缺失,景嘉微,0.0,0.04,3.31
012651,简称缺失,海光信息,8.41,55.05,13904.77
012651,简称缺失,寒武纪,7.39,9.22,12217.96
012651,简称缺失,华虹半导体,7.31,165.5,12087.86
012651,简称缺失,兆易创新,7.1,55.07,11746.92
012651,简称缺失,中芯国际,6.22,141.55,10280.43
012651,简称缺失,华工科技,5.72,102.26,9457.0
012651,简称缺失,豪威集团,5.7,62.37,9428.47
012651,简称缺失,北方华创,5.54,20.26,9163.32
012651,简称缺失,澜起科技,4.86,51.91,8035.17
012651,简称缺失,中芯国际,3.6,42.53,5959.91
012125,简称缺失,兆易创新,9.62,73.1,15592.06
012125,简称缺失,腾讯控股,8.51,22.79,13794.92
012125,简称缺失,金斯瑞生物科技,6.33,672.6,10267.26
012125,简称缺失,兴业银锡,4.71,232.25,7638.7
012125,简称缺失,华虹半导体,3.89,86.4,6310.52
012125,简称缺失,三环集团,3.37,117.99,5466.48
012125,简称缺失,三美股份,2.97,81.95,4820.3
012125,简称缺失,百济神州,2.93,25.34,4747.28
012125,简称缺失,阿里巴巴-W,2.32,23.25,3757.14
012125,简称缺失,圣农发展,2.29,205.86,3711.62
012553,简称缺失,中芯国际,0.41,3.24,454.55
012553,简称缺失,寒武纪,0.4,0.34,446.92
012553,简称缺失,海光信息,0.34,1.5,379.53
012553,简称缺失,北方华创,0.28,0.69,312.13
012553,简称缺失,澜起科技,0.26,1.89,293.07
012553,简称缺失,兆易创新,0.21,1.1,235.42
012553,简称缺失,豪威集团,0.19,1.41,212.86
012553,简称缺失,中微公司,0.19,0.71,210.94
012553,简称缺失,长电科技,0.09,2.37,104.49
012553,简称缺失,芯原股份,0.09,0.56,102.11
011840,简称缺失,新易盛,11.28,114.51,41884.18
011840,简称缺失,中际旭创,11.15,102.59,41411.92
011840,简称缺失,寒武纪,8.58,24.06,31885.73
011840,简称缺失,澜起科技,5.51,132.12,20452.72
011840,简称缺失,中科曙光,5.42,168.84,20134.17
011840,简称缺失,科大讯飞,4.03,266.76,14951.77
011840,简称缺失,豪威集团,4.0,98.31,14861.89
011840,简称缺失,海康威视,3.62,426.22,13434.39
011840,简称缺失,浪潮信息,2.38,118.91,8848.91
011840,简称缺失,金山办公,2.27,26.69,8447.16
011892,简称缺失,仕佳光子,9.89,285.64,20366.45
011892,简称缺失,沪电股份,9.62,269.59,19806.78
011892,简称缺失,新易盛,9.57,53.91,19719.47
011892,简称缺失,英维克,9.54,245.57,19640.73
011892,简称缺失,长芯博创,9.47,183.46,19496.69
011892,简称缺失,中际旭创,9.44,48.18,19448.7
011892,简称缺失,天孚通信,9.18,112.65,18902.54
011892,简称缺失,深南电路,7.32,69.6,15079.05
011892,简称缺失,源杰科技,5.89,28.27,12126.54
011892,简称缺失,澜起科技,4.98,66.19,10246.48
011615,简称缺失,寒武纪,0.23,0.68,902.99
011615,简称缺失,海光信息,0.19,2.86,723.67
011615,简称缺失,中芯国际,0.17,4.8,672.79
011615,简称缺失,澜起科技,0.14,3.53,546.18
011615,简称缺失,中微公司,0.1,1.36,406.36
011615,简称缺失,金山办公,0.06,0.75,236.2
011615,简称缺失,联影医疗,0.06,1.52,229.95
011615,简称缺失,芯原股份,0.05,1.01,185.6
011615,简称缺失,华电新能,0.03,25.46,134.15
011615,简称缺失,石头科技,0.03,0.63,133.17
012429,简称缺失,吉利汽车,6.57,1054.7,18825.09
012429,简称缺失,工业富联,6.45,280.07,18487.42
012429,简称缺失,中芯国际,6.41,252.78,18358.9
012429,简称缺失,纳芯微,5.38,77.13,15424.36
012429,简称缺失,腾讯控股,4.8,22.73,13760.11
012429,简称缺失,比亚迪电子,4.62,350.37,13223.77
012429,简称缺失,宁德时代,4.15,29.58,11889.35
012429,简称缺失,阿里巴巴-W,4.01,71.16,11499.13
012429,简称缺失,思瑞浦,3.86,63.74,11048.07
012429,简称缺失,科达利,3.74,54.82,10728.27
011370,简称缺失,中际旭创,9.05,19.17,7736.85
011370,简称缺失,新易盛,8.92,20.84,7621.18
011370,简称缺失,胜宏科技,6.28,18.79,5364.55
011370,简称缺失,东山精密,5.75,68.78,4917.77
011370,简称缺失,仕佳光子,4.98,59.71,4257.27
011370,简称缺失,中材科技,4.47,112.21,3817.38
011370,简称缺失,宏和科技,4.23,103.75,3617.76
011370,简称缺失,德科立,4.07,28.74,3478.41
011370,简称缺失,深南电路,3.51,13.83,2996.56
011370,简称缺失,源杰科技,2.89,5.76,2469.97
011499,简称缺失,洛阳钼业,4.29,225.0,3532.5
011499,简称缺失,传音控股,4.11,36.46,3386.11
011499,简称缺失,渝农商行,4.0,500.0,3295.0
011499,简称缺失,徐工机械,3.77,270.0,3105.0
011499,简称缺失,百利天恒,3.68,8.08,3031.0
011499,简称缺失,铜陵有色,3.25,500.0,2680.01
011499,简称缺失,紫金矿业,3.22,90.0,2649.6
011499,简称缺失,兆易创新,3.14,12.11,2583.06
011499,简称缺失,德赛西威,3.03,16.5,2495.3
011499,简称缺失,宁德时代,2.97,6.09,2448.18
011613,简称缺失,中芯国际,0.08,6.0,841.44
011613,简称缺失,海光信息,0.08,3.33,840.78
011613,简称缺失,寒武纪,0.07,0.57,752.87
011613,简称缺失,澜起科技,0.06,4.1,634.43
011613,简称缺失,中微公司,0.04,1.57,468.31
011613,简称缺失,联影医疗,0.03,1.87,284.12
011613,简称缺失,金山办公,0.03,0.88,277.63
011613,简称缺失,芯原股份,0.02,1.33,243.01
011613,简称缺失,石头科技,0.02,0.78,164.49
011613,简称缺失,传音控股,0.02,1.73,162.74
011609,简称缺失,中芯国际,0.04,5.48,767.24
011609,简称缺失,海光信息,0.04,3.04,766.69
011609,简称缺失,寒武纪,0.03,0.52,686.88
011609,简称缺失,澜起科技,0.03,3.74,578.58
011609,简称缺失,中微公司,0.02,1.43,427.2
011609,简称缺失,联影医疗,0.01,1.71,258.98
011609,简称缺失,金山办公,0.01,0.8,253.2
011609,简称缺失,芯原股份,0.01,1.21,221.65
011609,简称缺失,石头科技,0.01,0.72,150.03
011609,简称缺失,传音控股,0.01,1.58,148.46
011301,简称缺失,宁德时代,9.74,102.79,41323.35
011301,简称缺失,新易盛,9.32,108.07,39527.3
011301,简称缺失,中际旭创,8.96,94.13,37999.08
011301,简称缺失,阳光电源,8.24,215.84,34961.73
011301,简称缺失,生益科技,5.95,467.47,25252.68
011301,简称缺失,华虹半导体,4.79,278.1,20311.98
011301,简称缺失,烽火通信,4.21,651.41,17881.28
011301,简称缺失,中芯国际,4.03,235.45,17100.16
011301,简称缺失,工业富联,3.27,210.47,13893.14
011301,简称缺失,江西铜业股份,2.66,406.0,11305.43
011452,简称缺失,新易盛,10.24,49.27,18020.98
011452,简称缺失,中际旭创,10.1,44.06,17787.35
011452,简称缺失,天孚通信,7.89,82.79,13892.83
011452,简称缺失,工业富联,7.17,191.13,12616.49
011452,简称缺失,长飞光纤光缆,6.54,266.35,11506.91
011452,简称缺失,仕佳光子,5.87,144.99,10337.91
011452,简称缺失,胜宏科技,5.61,34.59,9875.45
011452,简称缺失,深南电路,5.41,43.94,9519.16
011452,简称缺失,源杰科技,5.19,21.31,9142.76
011452,简称缺失,东山精密,3.84,94.45,6753.18
011412,简称缺失,仕佳光子,9.89,402.58,28704.13
011412,简称缺失,沪电股份,9.59,379.0,27845.31
011412,简称缺失,新易盛,9.54,75.73,27699.98
011412,简称缺失,英维克,9.49,344.37,27542.78
011412,简称缺失,长芯博创,9.41,256.97,27308.4
011412,简称缺失,中际旭创,9.41,67.64,27305.16
011412,简称缺失,深南电路,7.27,97.45,21110.92
011412,简称缺失,天孚通信,7.11,123.06,20649.43
011412,简称缺失,源杰科技,5.92,40.04,17177.67
011412,简称缺失,澜起科技,4.97,93.25,14434.34
011329,简称缺失,爱旭股份,7.48,3037.59,49733.35
011329,简称缺失,九号公司,6.75,673.21,44843.03
011329,简称缺失,宁德时代,6.68,110.44,44397.84
011329,简称缺失,睿创微纳,6.37,478.99,42361.72
011329,简称缺失,帝尔激光,5.78,526.69,38401.26
011329,简称缺失,欣旺达,5.62,1105.91,37368.67
011329,简称缺失,地平线机器人-W,4.98,3781.14,33071.17
011329,简称缺失,奕瑞科技,4.66,268.01,30965.31
011329,简称缺失,云路股份,4.41,268.81,29278.56
011329,简称缺失,思特威,4.2,234.36,27926.0
011400,简称缺失,阿里巴巴-W,9.46,336.67,54405.02
011400,简称缺失,工业富联,8.95,778.99,51420.81
011400,简称缺失,新易盛,8.54,134.2,49087.8
011400,简称缺失,中际旭创,8.09,115.14,46479.72
011400,简称缺失,中芯国际,7.31,578.25,41996.89
011400,简称缺失,腾讯控股,6.74,63.97,38721.41
011400,简称缺失,中微公司,4.9,94.25,28181.09
011400,简称缺失,沪电股份,4.89,382.58,28108.15
011400,简称缺失,北方华创,4.41,56.06,25358.08
011400,简称缺失,胜宏科技,4.14,83.31,23785.01
011306,简称缺失,东阳光,8.54,735.64,17125.7
011306,简称缺失,新易盛,6.62,36.27,13267.94
011306,简称缺失,联创光电,5.73,186.56,11493.96
011306,简称缺失,科华数据,4.74,132.87,9500.35
011306,简称缺失,衢州发展,4.23,1875.31,8476.4
011306,简称缺失,深南电路,4.21,38.92,8431.2
011306,简称缺失,沪电股份,3.8,103.77,7623.69
011306,简称缺失,纳科诺尔,3.77,117.84,7553.46
011306,简称缺失,科达利,3.31,33.91,6636.19
011306,简称缺失,爱科赛博,3.23,164.82,6474.04
011237,简称缺失,立讯精密,9.28,375.78,24309.36
011237,简称缺失,亿纬锂能,6.88,198.04,18021.41
011237,简称缺失,宁德时代,6.21,40.47,16270.79
011237,简称缺失,东山精密,3.93,144.05,10299.64
011237,简称缺失,徐工机械,3.11,708.73,8150.35
011237,简称缺失,恩捷股份,2.89,162.16,7572.87
011237,简称缺失,胜宏科技,2.23,20.46,5840.22
011237,简称缺失,牧原股份,2.07,102.25,5419.25
011237,简称缺失,招商银行,2.07,133.97,5413.73
011237,简称缺失,中信证券,1.38,120.96,3616.7
011145,简称缺失,工业富联,7.56,234.28,15464.59
011145,简称缺失,阿里巴巴-W,6.66,84.32,13625.9
011145,简称缺失,中际旭创,6.19,31.37,12663.44
011145,简称缺失,隆盛科技,5.57,180.8,11383.19
011145,简称缺失,阳光电源,4.48,56.56,9160.94
011145,简称缺失,德明利,4.19,41.91,8578.56
011145,简称缺失,江波龙,3.91,44.96,8004.23
011145,简称缺失,阿特斯,3.84,584.58,7856.8
011145,简称缺失,科达利,3.43,35.88,7021.72
011145,简称缺失,深南电路,3.42,32.32,7000.72
011120,简称缺失,新易盛,9.3,134.5,49196.07
011120,简称缺失,工业富联,8.73,700.0,46207.0
011120,简称缺失,中际旭创,8.39,110.0,44404.8
011120,简称缺失,沪电股份,5.55,400.0,29388.0
011120,简称缺失,东山精密,5.41,400.0,28600.0
011120,简称缺失,寒武纪,5.01,20.0,26504.37
011120,简称缺失,世运电路,3.88,450.0,20515.5
011120,简称缺失,兆易创新,3.83,95.0,20263.5
011120,简称缺失,天孚通信,3.65,115.0,19297.0
011120,简称缺失,腾景科技,3.24,145.0,17144.8
011036,简称缺失,北方稀土,0.03,1.81,41.01
011036,简称缺失,卧龙电驱,0.01,0.65,17.22
011036,简称缺失,中国铝业,0.01,1.92,14.32
011036,简称缺失,厦门钨业,0.01,0.68,13.14
011036,简称缺失,包钢股份,0.01,7.22,12.92
011036,简称缺失,盛和资源,0.01,1.0,10.91
011036,简称缺失,湘电股份,0.01,0.66,7.11
011036,简称缺失,有研新材,0.01,0.42,6.93
011036,简称缺失,科力远,0.0,0.95,4.74
011036,简称缺失,广晟有色,0.0,0.14,4.66
010827,简称缺失,兴业银锡,9.82,1038.71,34163.07
010827,简称缺失,山东黄金,9.28,957.23,32282.87
010827,简称缺失,锡业股份,8.1,1218.25,28190.35
010827,简称缺失,招金矿业,7.75,944.45,26954.37
010827,简称缺失,华泰证券,6.5,1204.64,22634.14
010827,简称缺失,中金黄金,5.02,796.03,17456.95
010827,简称缺失,中曼石油,4.84,863.44,16828.45
010827,简称缺失,赛轮轮胎,4.8,1162.61,16718.4
010827,简称缺失,中远海能,4.59,1941.2,15985.94
010827,简称缺失,海南橡胶,3.83,2466.14,13317.16
010791,简称缺失,新易盛,9.38,51.94,18998.09
010791,简称缺失,紫金矿业,4.85,333.83,9828.05
010791,简称缺失,宁德时代,4.5,22.68,9117.36
010791,简称缺失,中际旭创,4.18,20.95,8457.1
010791,简称缺失,工业富联,3.75,115.0,7591.15
010791,简称缺失,沪电股份,3.74,103.14,7577.7
010791,简称缺失,天孚通信,3.44,41.46,6956.99
010791,简称缺失,建发股份,2.95,581.58,5967.05
010791,简称缺失,盛屯矿业,2.66,521.63,5383.22
010791,简称缺失,洛阳钼业,2.32,299.41,4700.74
010655,简称缺失,药明合联,9.85,246.1,17592.79
010655,简称缺失,药明生物,8.84,422.22,15796.97
010655,简称缺失,博腾股份,8.57,593.96,15306.45
010655,简称缺失,科伦博泰生物-B,8.5,32.36,15185.63
010655,简称缺失,药明康德,6.94,110.64,12395.13
010655,简称缺失,信达生物,6.76,137.1,12066.35
010655,简称缺失,凯莱英,5.75,90.28,10264.8
010655,简称缺失,康龙化成,5.61,280.2,10017.06
010655,简称缺失,泰格医药,4.57,140.78,8165.37
010655,简称缺失,百济神州,4.28,24.93,7649.85
011068,简称缺失,洛阳钼业,9.98,1057.0,16594.9
011068,简称缺失,紫金矿业,9.77,552.0,16250.88
011068,简称缺失,赤峰黄金,6.9,388.0,11477.04
011068,简称缺失,中矿资源,6.67,224.0,11088.0
011068,简称缺失,藏格矿业,6.45,184.0,10732.72
011068,简称缺失,华友钴业,5.55,140.0,9226.0
011068,简称缺失,金诚信,5.2,124.0,8647.76
011068,简称缺失,中国神华,3.96,171.0,6583.5
011068,简称缺失,山金国际,3.79,276.0,6301.08
011068,简称缺失,铜陵有色,3.76,1166.0,6249.76
011117,简称缺失,腾讯控股,8.98,116.7,70637.38
011117,简称缺失,阿里巴巴-W,7.92,385.27,62259.13
011117,简称缺失,泡泡玛特,7.13,230.05,56036.55
011117,简称缺失,紫金矿业,6.09,1627.74,47920.52
011117,简称缺失,网易云音乐,4.09,135.68,32180.87
011117,简称缺失,巨子生物,4.07,619.88,31973.41
011117,简称缺失,紫金矿业,3.76,992.4,29533.82
011117,简称缺失,山东黄金,3.64,849.2,28643.52
011117,简称缺失,洛阳钼业,3.59,1972.3,28243.34
011117,简称缺失,招金矿业,3.48,958.6,27358.44
010422,简称缺失,潮宏基,5.0,634.5,9067.01
010422,简称缺失,美的集团,4.42,110.49,8028.46
010422,简称缺失,石头科技,4.38,37.86,7942.8
010422,简称缺失,法拉电子,3.61,51.85,6554.02
010422,简称缺失,万辰集团,3.37,33.67,6111.07
010422,简称缺失,华勤技术,3.29,56.72,5976.02
010422,简称缺失,晶晨股份,3.15,51.38,5711.97
010422,简称缺失,今世缘,3.04,140.38,5516.93
010422,简称缺失,上海家化,2.96,204.12,5372.44
010422,简称缺失,燕京啤酒,2.95,441.46,5354.91
010392,简称缺失,中际旭创,8.38,115.01,46427.48
010392,简称缺失,腾讯控股,7.53,68.96,41741.88
010392,简称缺失,新易盛,7.29,110.51,40422.49
010392,简称缺失,沪电股份,6.93,522.54,38390.94
010392,简称缺失,工业富联,6.69,561.45,37061.59
010392,简称缺失,深南电路,5.35,136.85,29647.12
010392,简称缺失,阿里巴巴-W,4.23,144.95,23423.55
010392,简称缺失,中芯国际,3.88,296.25,21515.91
010392,简称缺失,景旺电子,3.85,338.85,21337.54
010392,简称缺失,中科曙光,3.68,170.82,20370.25
010214,简称缺失,阿里巴巴-W,10.51,431.28,69694.85
010214,简称缺失,腾讯控股,9.12,99.86,60448.68
010214,简称缺失,吉比特,5.72,66.72,37898.1
010214,简称缺失,立讯精密,5.07,519.86,33629.74
010214,简称缺失,哔哩哔哩-W,4.84,156.53,32098.45
010214,简称缺失,兆易创新,4.56,141.72,30228.92
010214,简称缺失,中芯国际,4.18,381.25,27690.19
010214,简称缺失,达梦数据,3.96,99.51,26223.26
010214,简称缺失,科沃斯,3.89,239.85,25783.55
010214,简称缺失,小米集团-W,3.33,447.98,22085.41
010372,简称缺失,中芯国际,7.86,198.35,14405.68
010372,简称缺失,中微公司,6.36,38.98,11653.82
010372,简称缺失,华虹半导体,5.97,149.7,10933.85
010372,简称缺失,阿里巴巴-W,5.1,57.85,9348.41
010372,简称缺失,中际旭创,4.47,20.27,8184.21
010372,简称缺失,源杰科技,3.75,16.0,6863.4
010372,简称缺失,德明利,3.29,29.44,6025.66
010372,简称缺失,深南电路,3.15,26.68,5780.82
010372,简称缺失,东威科技,3.12,145.66,5717.31
010372,简称缺失,骄成超声,3.1,59.06,5673.59
010236,简称缺失,中际旭创,7.31,47.67,19243.43
010236,简称缺失,兆易创新,7.28,89.75,19143.31
010236,简称缺失,源杰科技,7.02,43.04,18466.18
010236,简称缺失,海光信息,5.81,60.54,15293.39
010236,简称缺失,新易盛,5.14,36.99,13530.56
010236,简称缺失,税友股份,5.14,265.8,13510.43
010236,简称缺失,长盈精密,4.41,278.32,11600.47
010236,简称缺失,华勤技术,4.04,100.93,10633.98
010236,简称缺失,寒武纪,3.63,7.21,9552.19
010236,简称缺失,巨人网络,3.61,210.16,9495.15
010865,简称缺失,万华化学,4.98,232.52,15481.31
010865,简称缺失,腾讯控股,3.98,20.42,12360.43
010865,简称缺失,长川科技,3.53,110.2,10978.11
010865,简称缺失,中微公司,3.41,35.47,10605.5
010865,简称缺失,北方华创,3.34,22.96,10387.32
010865,简称缺失,亿纬锂能,3.26,111.1,10110.1
010865,简称缺失,中熔电气,3.22,81.72,10011.2
010865,简称缺失,电连技术,3.2,174.45,9943.38
010865,简称缺失,尚太科技,3.02,112.15,9388.08
010865,简称缺失,阿里巴巴-W,3.0,57.68,9321.44
010004,简称缺失,安集科技,8.22,126.89,28985.93
010004,简称缺失,思特威,7.52,222.78,26547.04
010004,简称缺失,睿创微纳,6.42,256.31,22667.71
010004,简称缺失,九号公司,6.31,334.48,22279.41
010004,简称缺失,中芯国际,5.81,282.4,20510.02
010004,简称缺失,平安好医生,5.26,1109.58,18548.48
010004,简称缺失,中船特气,5.1,409.05,17981.71
010004,简称缺失,阿里巴巴-W,5.06,110.4,17840.36
010004,简称缺失,奕瑞科技,4.95,151.43,17469.61
010004,简称缺失,地平线机器人-W,4.68,1886.34,16498.59
009995,简称缺失,阿里巴巴-W,9.01,135.82,21948.17
009995,简称缺失,立讯精密,8.53,321.09,20771.36
009995,简称缺失,中芯国际,8.38,281.0,20408.34
009995,简称缺失,腾讯控股,7.94,31.93,19327.35
009995,简称缺失,中微公司,6.71,54.67,16346.32
009995,简称缺失,纳芯微,5.79,70.54,14106.37
009995,简称缺失,北方华创,5.16,27.81,12578.32
009995,简称缺失,华虹半导体,5.11,170.39,12445.27
009995,简称缺失,思特威,4.98,101.7,12118.92
009995,简称缺失,南芯科技,4.59,216.74,11181.73
009727,简称缺失,杰瑞股份,1.07,19.4,1080.58
009727,简称缺失,完美世界,1.05,55.11,1055.91
009727,简称缺失,石化油服,1.02,497.62,1030.07
009727,简称缺失,华测导航,1.02,29.03,1028.67
009727,简称缺失,深天马A,1.02,103.34,1025.13
009727,简称缺失,福田汽车,1.01,373.18,1022.51
009727,简称缺失,吉林敖东,1.0,50.2,1004.5
009727,简称缺失,科沃斯,0.99,9.32,1001.9
009727,简称缺失,西部超导,0.98,15.15,986.37
009727,简称缺失,金风科技,0.98,65.79,984.88
009708,简称缺失,中芯国际,8.94,512.35,37211.98
009708,简称缺失,海光信息,8.89,146.44,36989.71
009708,简称缺失,中微公司,8.07,112.36,33593.62
009708,简称缺失,寒武纪,7.96,24.99,33110.96
009708,简称缺失,芯源微,6.48,181.09,26981.9
009708,简称缺失,北方华创,6.04,55.58,25144.02
009708,简称缺失,中科飞测,5.29,189.74,22015.2
009708,简称缺失,兆易创新,4.69,91.58,19534.44
009708,简称缺失,晶晨股份,3.46,129.41,14388.09
009708,简称缺失,华峰测控,3.2,64.01,13334.05
008920,简称缺失,源杰科技,10.07,51.49,22088.52
008920,简称缺失,天孚通信,9.25,120.9,20286.82
008920,简称缺失,生益科技,8.19,332.43,17957.87
008920,简称缺失,德科立,7.06,127.93,15481.56
008920,简称缺失,中际旭创,6.57,35.7,14411.38
008920,简称缺失,七一二,6.17,618.14,13531.16
008920,简称缺失,航发动力,5.3,275.53,11621.86
008920,简称缺失,嘉元科技,5.12,299.6,11240.83
008920,简称缺失,长芯博创,4.94,102.07,10846.98
008920,简称缺失,沪电股份,4.73,141.19,10373.57
008586,简称缺失,新易盛,0.31,4.95,1809.83
008586,简称缺失,中际旭创,0.3,4.43,1788.3
008586,简称缺失,寒武纪,0.2,0.88,1167.59
008586,简称缺失,澜起科技,0.13,4.83,747.73
008586,简称缺失,中科曙光,0.13,6.18,736.97
008586,简称缺失,科大讯飞,0.11,11.53,646.26
008586,简称缺失,海康威视,0.1,18.42,580.6
008586,简称缺失,豪威集团,0.09,3.61,545.72
008586,简称缺失,浪潮信息,0.07,5.14,382.52
008586,简称缺失,金山办公,0.05,1.0,314.98
008989,简称缺失,新易盛,9.59,31.72,11602.22
008989,简称缺失,中际旭创,8.95,26.82,10826.7
