基金代码,基金简称,日增长率,近1周,近1月,近3月,近半年,近1年,近2年,近3年,今年来,成立来,十大重仓
013620,简称缺失,,,,,,,,,,,"[['分众传媒', 4.71, 3828.53, 30857.93], ['中兴通讯', 4.65, 667.48, 30463.77], ['寒武纪', 4.38, 21.67, 28708.38], ['中国平安', 4.31, 511.95, 28213.56], ['中芯国际', 4.11, 192.03, 26908.73], ['天孚通信', 3.98, 155.43, 26081.36], ['华虹公司', 3.95, 226.03, 25894.25], ['浪潮信息', 3.35, 294.95, 21950.33], ['昆仑万维', 3.27, 441.2, 21437.91], ['南方传媒', 2.91, 1453.48, 19098.67]]"
013533,简称缺失,,,,,,,,,,,"[['杰普特', 8.48, 284.91, 40277.06], ['协创数据', 8.42, 219.76, 39993.39], ['新泉股份', 7.81, 447.09, 37126.09], ['巨人网络', 6.92, 728.18, 32899.17], ['长盈精密', 5.9, 672.62, 28034.8], ['广东宏大', 5.74, 618.66, 27282.76], ['德明利', 5.12, 118.73, 24302.84], ['寒武纪', 4.75, 17.02, 22549.38], ['华丰科技', 4.53, 218.77, 21527.02], ['美湖股份', 4.48, 478.11, 21285.28]]"
013466,简称缺失,,,,,,,,,,,"[['澜起科技', 8.14, 140.19, 21700.75], ['宁德时代', 7.79, 51.69, 20777.77], ['乐鑫科技', 7.41, 91.1, 19755.6], ['翱捷科技', 5.51, 132.88, 14682.71], ['中国平安', 1.99, 96.48, 5317.01], ['分众传媒', 1.95, 644.43, 5194.12], ['巨人网络', 1.82, 107.57, 4860.01], ['绿联科技', 1.66, 69.21, 4427.76], ['恺英网络', 1.6, 151.69, 4259.46], ['中信证券', 1.52, 135.77, 4059.6]]"
013340,简称缺失,,,,,,,,,,,"[['中芯国际', 8.77, 61.73, 8650.08], ['海光信息', 7.15, 27.92, 7052.57], ['中微公司', 6.77, 22.35, 6683.47], ['恒玄科技', 6.32, 20.97, 6238.63], ['乐鑫科技', 6.04, 27.49, 5961.5], ['光库科技', 4.74, 39.38, 4678.34], ['盛美上海', 4.72, 23.09, 4659.8], ['江波龙', 4.7, 26.07, 4640.9], ['瑞芯微', 4.34, 19.0, 4285.45], ['长川科技', 4.14, 41.0, 4084.42]]"
013311,简称缺失,,,,,,,,,,,[]
013305,简称缺失,,,,,,,,,,,"[['智飞生物', 0.0, 0.27, 9.01], ['铜冠矿建', 0.0, 0.04, 0.17]]"
013277,简称缺失,,,,,,,,,,,"[['平安电工', 0.0, 0.02, 0.42]]"
013010,简称缺失,,,,,,,,,,,"[['阿里巴巴-W', 8.96, 40.5, 6544.7], ['腾讯控股', 8.29, 10.0, 6053.06], ['中芯国际', 7.46, 75.0, 5447.07], ['极兔速递-W', 6.12, 500.26, 4466.79], ['东岳集团', 5.72, 376.5, 4172.97], ['紫金矿业', 4.61, 113.2, 3369.19], ['洛阳钼业', 4.38, 223.2, 3197.26], ['中国黄金国际', 4.08, 23.5, 2977.96], ['泡泡玛特', 3.71, 11.12, 2708.64], ['巨子生物', 3.53, 50.0, 2579.17]]"
012970,简称缺失,,,,,,,,,,,"[['紫光国微', 0.04, 0.24, 31.64], ['晶盛机电', 0.02, 0.21, 13.35]]"
012922,爬取失败,,,,,,,,,,,[]
012908,简称缺失,,,,,,,,,,,"[['奥美森', 0.0, 0.03, 0.25], ['长江能科', 0.0, 0.03, 0.16]]"
012895,简称缺失,,,,,,,,,,,"[['宁德时代', 0.29, 2.08, 836.16], ['阳光电源', 0.26, 4.6, 745.11], ['新易盛', 0.23, 1.8, 658.39], ['中际旭创', 0.23, 1.62, 653.96], ['汇川技术', 0.2, 6.88, 576.68], ['迈瑞医疗', 0.17, 2.04, 501.21], ['胜宏科技', 0.11, 1.11, 316.91], ['泰格医药', 0.09, 4.28, 248.24], ['康龙化成', 0.08, 6.56, 234.52], ['亿纬锂能', 0.07, 2.08, 189.28]]"
012734,简称缺失,,,,,,,,,,,"[['寒武纪', 0.14, 1.14, 1506.26], ['新易盛', 0.14, 4.0, 1464.76], ['中际旭创', 0.14, 3.6, 1453.25], ['澜起科技', 0.09, 6.23, 965.13], ['中科曙光', 0.09, 7.98, 951.62], ['豪威集团', 0.07, 4.65, 702.56], ['科大讯飞', 0.05, 9.2, 515.66], ['海康威视', 0.04, 14.8, 466.5], ['金山办公', 0.04, 1.26, 399.2], ['芯原股份', 0.03, 1.91, 349.42]]"
012651,简称缺失,,,,,,,,,,,"[['海光信息', 8.41, 55.05, 13904.77], ['寒武纪', 7.39, 9.22, 12217.96], ['华虹半导体', 7.31, 165.5, 12087.86], ['兆易创新', 7.1, 55.07, 11746.92], ['中芯国际', 6.22, 141.55, 10280.43], ['华工科技', 5.72, 102.26, 9457.0], ['豪威集团', 5.7, 62.37, 9428.47], ['北方华创', 5.54, 20.26, 9163.32], ['澜起科技', 4.86, 51.91, 8035.17], ['中芯国际', 3.6, 42.53, 5959.91]]"
012630,简称缺失,,,,,,,,,,,"[['北方华创', 0.01, 0.05, 22.62], ['紫光国微', 0.0, 0.08, 7.22], ['通富微电', 0.0, 0.14, 5.62], ['圣邦股份', 0.0, 0.05, 4.16], ['卓胜微', 0.0, 0.05, 4.16], ['华天科技', 0.0, 0.33, 3.89], ['华大九天', 0.0, 0.03, 3.79], ['晶盛机电', 0.0, 0.08, 3.64], ['北京君正', 0.0, 0.04, 3.56], ['景嘉微', 0.0, 0.04, 3.31]]"
012553,简称缺失,,,,,,,,,,,"[['中芯国际', 0.41, 3.24, 454.55], ['寒武纪', 0.4, 0.34, 446.92], ['海光信息', 0.34, 1.5, 379.53], ['北方华创', 0.28, 0.69, 312.13], ['澜起科技', 0.26, 1.89, 293.07], ['兆易创新', 0.21, 1.1, 235.42], ['豪威集团', 0.19, 1.41, 212.86], ['中微公司', 0.19, 0.71, 210.94], ['长电科技', 0.09, 2.37, 104.49], ['芯原股份', 0.09, 0.56, 102.11]]"
012429,简称缺失,,,,,,,,,,,"[['吉利汽车', 6.57, 1054.7, 18825.09], ['工业富联', 6.45, 280.07, 18487.42], ['中芯国际', 6.41, 252.78, 18358.9], ['纳芯微', 5.38, 77.13, 15424.36], ['腾讯控股', 4.8, 22.73, 13760.11], ['比亚迪电子', 4.62, 350.37, 13223.77], ['宁德时代', 4.15, 29.58, 11889.35], ['阿里巴巴-W', 4.01, 71.16, 11499.13], ['思瑞浦', 3.86, 63.74, 11048.07], ['科达利', 3.74, 54.82, 10728.27]]"
012125,简称缺失,,,,,,,,,,,"[['兆易创新', 9.62, 73.1, 15592.06], ['腾讯控股', 8.51, 22.79, 13794.92], ['金斯瑞生物科技', 6.33, 672.6, 10267.26], ['兴业银锡', 4.71, 232.25, 7638.7], ['华虹半导体', 3.89, 86.4, 6310.52], ['三环集团', 3.37, 117.99, 5466.48], ['三美股份', 2.97, 81.95, 4820.3], ['百济神州', 2.93, 25.34, 4747.28], ['阿里巴巴-W', 2.32, 23.25, 3757.14], ['圣农发展', 2.29, 205.86, 3711.62]]"
011892,简称缺失,,,,,,,,,,,"[['仕佳光子', 9.89, 285.64, 20366.45], ['沪电股份', 9.62, 269.59, 19806.78], ['新易盛', 9.57, 53.91, 19719.47], ['英维克', 9.54, 245.57, 19640.73], ['长芯博创', 9.47, 183.46, 19496.69], ['中际旭创', 9.44, 48.18, 19448.7], ['天孚通信', 9.18, 112.65, 18902.54], ['深南电路', 7.32, 69.6, 15079.05], ['源杰科技', 5.89, 28.27, 12126.54], ['澜起科技', 4.98, 66.19, 10246.48]]"
011840,简称缺失,,,,,,,,,,,"[['新易盛', 11.28, 114.51, 41884.18], ['中际旭创', 11.15, 102.59, 41411.92], ['寒武纪', 8.58, 24.06, 31885.73], ['澜起科技', 5.51, 132.12, 20452.72], ['中科曙光', 5.42, 168.84, 20134.17], ['科大讯飞', 4.03, 266.76, 14951.77], ['豪威集团', 4.0, 98.31, 14861.89], ['海康威视', 3.62, 426.22, 13434.39], ['浪潮信息', 2.38, 118.91, 8848.91], ['金山办公', 2.27, 26.69, 8447.16]]"
011823,爬取失败,,,,,,,,,,,[]
011615,简称缺失,,,,,,,,,,,"[['寒武纪', 0.23, 0.68, 902.99], ['海光信息', 0.19, 2.86, 723.67], ['中芯国际', 0.17, 4.8, 672.79], ['澜起科技', 0.14, 3.53, 546.18], ['中微公司', 0.1, 1.36, 406.36], ['金山办公', 0.06, 0.75, 236.2], ['联影医疗', 0.06, 1.52, 229.95], ['芯原股份', 0.05, 1.01, 185.6], ['华电新能', 0.03, 25.46, 134.15], ['石头科技', 0.03, 0.63, 133.17]]"
011613,简称缺失,,,,,,,,,,,"[['中芯国际', 0.08, 6.0, 841.44], ['海光信息', 0.08, 3.33, 840.78], ['寒武纪', 0.07, 0.57, 752.87], ['澜起科技', 0.06, 4.1, 634.43], ['中微公司', 0.04, 1.57, 468.31], ['联影医疗', 0.03, 1.87, 284.12], ['金山办公', 0.03, 0.88, 277.63], ['芯原股份', 0.02, 1.33, 243.01], ['石头科技', 0.02, 0.78, 164.49], ['传音控股', 0.02, 1.73, 162.74]]"
011609,简称缺失,,,,,,,,,,,"[['中芯国际', 0.04, 5.48, 767.24], ['海光信息', 0.04, 3.04, 766.69], ['寒武纪', 0.03, 0.52, 686.88], ['澜起科技', 0.03, 3.74, 578.58], ['中微公司', 0.02, 1.43, 427.2], ['联影医疗', 0.01, 1.71, 258.98], ['金山办公', 0.01, 0.8, 253.2], ['芯原股份', 0.01, 1.21, 221.65], ['石头科技', 0.01, 0.72, 150.03], ['传音控股', 0.01, 1.58, 148.46]]"
011584,简称缺失,,,,,,,,,,,"[['紫金矿业', 8.73, 278.8, 8297.97], ['腾讯控股', 5.97, 9.38, 5677.77], ['小米集团-W', 5.54, 106.8, 5265.34], ['中芯国际', 5.04, 66.0, 4793.42], ['康方生物', 4.18, 30.8, 3970.51], ['招金矿业', 4.17, 138.8, 3961.32], ['携程集团-S', 4.11, 7.18, 3906.9], ['香港交易所', 4.11, 9.68, 3906.24], ['和誉-B', 4.06, 236.0, 3861.1], ['阿里巴巴-W', 4.05, 23.8, 3846.02]]"
011499,简称缺失,,,,,,,,,,,"[['洛阳钼业', 4.29, 225.0, 3532.5], ['传音控股', 4.11, 36.46, 3386.11], ['渝农商行', 4.0, 500.0, 3295.0], ['徐工机械', 3.77, 270.0, 3105.0], ['百利天恒', 3.68, 8.08, 3031.0], ['铜陵有色', 3.25, 500.0, 2680.01], ['紫金矿业', 3.22, 90.0, 2649.6], ['兆易创新', 3.14, 12.11, 2583.06], ['德赛西威', 3.03, 16.5, 2495.3], ['宁德时代', 2.97, 6.09, 2448.18]]"
011452,简称缺失,,,,,,,,,,,"[['新易盛', 10.24, 49.27, 18020.98], ['中际旭创', 10.1, 44.06, 17787.35], ['天孚通信', 7.89, 82.79, 13892.83], ['工业富联', 7.17, 191.13, 12616.49], ['长飞光纤光缆', 6.54, 266.35, 11506.91], ['仕佳光子', 5.87, 144.99, 10337.91], ['胜宏科技', 5.61, 34.59, 9875.45], ['深南电路', 5.41, 43.94, 9519.16], ['源杰科技', 5.19, 21.31, 9142.76], ['东山精密', 3.84, 94.45, 6753.18]]"
011412,简称缺失,,,,,,,,,,,"[['仕佳光子', 9.89, 402.58, 28704.13], ['沪电股份', 9.59, 379.0, 27845.31], ['新易盛', 9.54, 75.73, 27699.98], ['英维克', 9.49, 344.37, 27542.78], ['长芯博创', 9.41, 256.97, 27308.4], ['中际旭创', 9.41, 67.64, 27305.16], ['深南电路', 7.27, 97.45, 21110.92], ['天孚通信', 7.11, 123.06, 20649.43], ['源杰科技', 5.92, 40.04, 17177.67], ['澜起科技', 4.97, 93.25, 14434.34]]"
011400,简称缺失,,,,,,,,,,,"[['阿里巴巴-W', 9.46, 336.67, 54405.02], ['工业富联', 8.95, 778.99, 51420.81], ['新易盛', 8.54, 134.2, 49087.8], ['中际旭创', 8.09, 115.14, 46479.72], ['中芯国际', 7.31, 578.25, 41996.89], ['腾讯控股', 6.74, 63.97, 38721.41], ['中微公司', 4.9, 94.25, 28181.09], ['沪电股份', 4.89, 382.58, 28108.15], ['北方华创', 4.41, 56.06, 25358.08], ['胜宏科技', 4.14, 83.31, 23785.01]]"
011370,简称缺失,,,,,,,,,,,"[['中际旭创', 9.05, 19.17, 7736.85], ['新易盛', 8.92, 20.84, 7621.18], ['胜宏科技', 6.28, 18.79, 5364.55], ['东山精密', 5.75, 68.78, 4917.77], ['仕佳光子', 4.98, 59.71, 4257.27], ['中材科技', 4.47, 112.21, 3817.38], ['宏和科技', 4.23, 103.75, 3617.76], ['德科立', 4.07, 28.74, 3478.41], ['深南电路', 3.51, 13.83, 2996.56], ['源杰科技', 2.89, 5.76, 2469.97]]"
011329,简称缺失,,,,,,,,,,,"[['爱旭股份', 7.48, 3037.59, 49733.35], ['九号公司', 6.75, 673.21, 44843.03], ['宁德时代', 6.68, 110.44, 44397.84], ['睿创微纳', 6.37, 478.99, 42361.72], ['帝尔激光', 5.78, 526.69, 38401.26], ['欣旺达', 5.62, 1105.91, 37368.67], ['地平线机器人-W', 4.98, 3781.14, 33071.17], ['奕瑞科技', 4.66, 268.01, 30965.31], ['云路股份', 4.41, 268.81, 29278.56], ['思特威', 4.2, 234.36, 27926.0]]"
011306,简称缺失,,,,,,,,,,,"[['东阳光', 8.54, 735.64, 17125.7], ['新易盛', 6.62, 36.27, 13267.94], ['联创光电', 5.73, 186.56, 11493.96], ['科华数据', 4.74, 132.87, 9500.35], ['衢州发展', 4.23, 1875.31, 8476.4], ['深南电路', 4.21, 38.92, 8431.2], ['沪电股份', 3.8, 103.77, 7623.69], ['纳科诺尔', 3.77, 117.84, 7553.46], ['科达利', 3.31, 33.91, 6636.19], ['爱科赛博', 3.23, 164.82, 6474.04]]"
011301,简称缺失,,,,,,,,,,,"[['宁德时代', 9.74, 102.79, 41323.35], ['新易盛', 9.32, 108.07, 39527.3], ['中际旭创', 8.96, 94.13, 37999.08], ['阳光电源', 8.24, 215.84, 34961.73], ['生益科技', 5.95, 467.47, 25252.68], ['华虹半导体', 4.79, 278.1, 20311.98], ['烽火通信', 4.21, 651.41, 17881.28], ['中芯国际', 4.03, 235.45, 17100.16], ['工业富联', 3.27, 210.47, 13893.14], ['江西铜业股份', 2.66, 406.0, 11305.43]]"
011237,简称缺失,,,,,,,,,,,"[['立讯精密', 9.28, 375.78, 24309.36], ['亿纬锂能', 6.88, 198.04, 18021.41], ['宁德时代', 6.21, 40.47, 16270.79], ['东山精密', 3.93, 144.05, 10299.64], ['徐工机械', 3.11, 708.73, 8150.35], ['恩捷股份', 2.89, 162.16, 7572.87], ['胜宏科技', 2.23, 20.46, 5840.22], ['牧原股份', 2.07, 102.25, 5419.25], ['招商银行', 2.07, 133.97, 5413.73], ['中信证券', 1.38, 120.96, 3616.7]]"
011145,简称缺失,,,,,,,,,,,"[['工业富联', 7.56, 234.28, 15464.59], ['阿里巴巴-W', 6.66, 84.32, 13625.9], ['中际旭创', 6.19, 31.37, 12663.44], ['隆盛科技', 5.57, 180.8, 11383.19], ['阳光电源', 4.48, 56.56, 9160.94], ['德明利', 4.19, 41.91, 8578.56], ['江波龙', 3.91, 44.96, 8004.23], ['阿特斯', 3.84, 584.58, 7856.8], ['科达利', 3.43, 35.88, 7021.72], ['深南电路', 3.42, 32.32, 7000.72]]"
011120,简称缺失,,,,,,,,,,,"[['新易盛', 9.3, 134.5, 49196.07], ['工业富联', 8.73, 700.0, 46207.0], ['中际旭创', 8.39, 110.0, 44404.8], ['沪电股份', 5.55, 400.0, 29388.0], ['东山精密', 5.41, 400.0, 28600.0], ['寒武纪', 5.01, 20.0, 26504.37], ['世运电路', 3.88, 450.0, 20515.5], ['兆易创新', 3.83, 95.0, 20263.5], ['天孚通信', 3.65, 115.0, 19297.0], ['腾景科技', 3.24, 145.0, 17144.8]]"
011117,简称缺失,,,,,,,,,,,"[['腾讯控股', 8.98, 116.7, 70637.38], ['阿里巴巴-W', 7.92, 385.27, 62259.13], ['泡泡玛特', 7.13, 230.05, 56036.55], ['紫金矿业', 6.09, 1627.74, 47920.52], ['网易云音乐', 4.09, 135.68, 32180.87], ['巨子生物', 4.07, 619.88, 31973.41], ['紫金矿业', 3.76, 992.4, 29533.82], ['山东黄金', 3.64, 849.2, 28643.52], ['洛阳钼业', 3.59, 1972.3, 28243.34], ['招金矿业', 3.48, 958.6, 27358.44]]"
011068,简称缺失,,,,,,,,,,,"[['洛阳钼业', 9.98, 1057.0, 16594.9], ['紫金矿业', 9.77, 552.0, 16250.88], ['赤峰黄金', 6.9, 388.0, 11477.04], ['中矿资源', 6.67, 224.0, 11088.0], ['藏格矿业', 6.45, 184.0, 10732.72], ['华友钴业', 5.55, 140.0, 9226.0], ['金诚信', 5.2, 124.0, 8647.76], ['中国神华', 3.96, 171.0, 6583.5], ['山金国际', 3.79, 276.0, 6301.08], ['铜陵有色', 3.76, 1166.0, 6249.76]]"
011036,简称缺失,,,,,,,,,,,"[['北方稀土', 0.03, 1.81, 41.01], ['卧龙电驱', 0.01, 0.65, 17.22], ['中国铝业', 0.01, 1.92, 14.32], ['厦门钨业', 0.01, 0.68, 13.14], ['包钢股份', 0.01, 7.22, 12.92], ['盛和资源', 0.01, 1.0, 10.91], ['湘电股份', 0.01, 0.66, 7.11], ['有研新材', 0.01, 0.42, 6.93], ['科力远', 0.0, 0.95, 4.74], ['广晟有色', 0.0, 0.14, 4.66]]"
010865,简称缺失,,,,,,,,,,,"[['万华化学', 4.98, 232.52, 15481.31], ['腾讯控股', 3.98, 20.42, 12360.43], ['长川科技', 3.53, 110.2, 10978.11], ['中微公司', 3.41, 35.47, 10605.5], ['北方华创', 3.34, 22.96, 10387.32], ['亿纬锂能', 3.26, 111.1, 10110.1], ['中熔电气', 3.22, 81.72, 10011.2], ['电连技术', 3.2, 174.45, 9943.38], ['尚太科技', 3.02, 112.15, 9388.08], ['阿里巴巴-W', 3.0, 57.68, 9321.44]]"
010827,简称缺失,,,,,,,,,,,"[['兴业银锡', 9.82, 1038.71, 34163.07], ['山东黄金', 9.28, 957.23, 32282.87], ['锡业股份', 8.1, 1218.25, 28190.35], ['招金矿业', 7.75, 944.45, 26954.37], ['华泰证券', 6.5, 1204.64, 22634.14], ['中金黄金', 5.02, 796.03, 17456.95], ['中曼石油', 4.84, 863.44, 16828.45], ['赛轮轮胎', 4.8, 1162.61, 16718.4], ['中远海能', 4.59, 1941.2, 15985.94], ['海南橡胶', 3.83, 2466.14, 13317.16]]"
010791,简称缺失,,,,,,,,,,,"[['新易盛', 9.38, 51.94, 18998.09], ['紫金矿业', 4.85, 333.83, 9828.05], ['宁德时代', 4.5, 22.68, 9117.36], ['中际旭创', 4.18, 20.95, 8457.1], ['工业富联', 3.75, 115.0, 7591.15], ['沪电股份', 3.74, 103.14, 7577.7], ['天孚通信', 3.44, 41.46, 6956.99], ['建发股份', 2.95, 581.58, 5967.05], ['盛屯矿业', 2.66, 521.63, 5383.22], ['洛阳钼业', 2.32, 299.41, 4700.74]]"
010655,简称缺失,,,,,,,,,,,"[['药明合联', 9.85, 246.1, 17592.79], ['药明生物', 8.84, 422.22, 15796.97], ['博腾股份', 8.57, 593.96, 15306.45], ['科伦博泰生物-B', 8.5, 32.36, 15185.63], ['药明康德', 6.94, 110.64, 12395.13], ['信达生物', 6.76, 137.1, 12066.35], ['凯莱英', 5.75, 90.28, 10264.8], ['康龙化成', 5.61, 280.2, 10017.06], ['泰格医药', 4.57, 140.78, 8165.37], ['百济神州', 4.28, 24.93, 7649.85]]"
010422,简称缺失,,,,,,,,,,,"[['潮宏基', 5.0, 634.5, 9067.01], ['美的集团', 4.42, 110.49, 8028.46], ['石头科技', 4.38, 37.86, 7942.8], ['法拉电子', 3.61, 51.85, 6554.02], ['万辰集团', 3.37, 33.67, 6111.07], ['华勤技术', 3.29, 56.72, 5976.02], ['晶晨股份', 3.15, 51.38, 5711.97], ['今世缘', 3.04, 140.38, 5516.93], ['上海家化', 2.96, 204.12, 5372.44], ['燕京啤酒', 2.95, 441.46, 5354.91]]"
010392,简称缺失,,,,,,,,,,,"[['中际旭创', 8.38, 115.01, 46427.48], ['腾讯控股', 7.53, 68.96, 41741.88], ['新易盛', 7.29, 110.51, 40422.49], ['沪电股份', 6.93, 522.54, 38390.94], ['工业富联', 6.69, 561.45, 37061.59], ['深南电路', 5.35, 136.85, 29647.12], ['阿里巴巴-W', 4.23, 144.95, 23423.55], ['中芯国际', 3.88, 296.25, 21515.91], ['景旺电子', 3.85, 338.85, 21337.54], ['中科曙光', 3.68, 170.82, 20370.25]]"
010372,简称缺失,,,,,,,,,,,"[['中芯国际', 7.86, 198.35, 14405.68], ['中微公司', 6.36, 38.98, 11653.82], ['华虹半导体', 5.97, 149.7, 10933.85], ['阿里巴巴-W', 5.1, 57.85, 9348.41], ['中际旭创', 4.47, 20.27, 8184.21], ['源杰科技', 3.75, 16.0, 6863.4], ['德明利', 3.29, 29.44, 6025.66], ['深南电路', 3.15, 26.68, 5780.82], ['东威科技', 3.12, 145.66, 5717.31], ['骄成超声', 3.1, 59.06, 5673.59]]"
010236,简称缺失,,,,,,,,,,,"[['中际旭创', 7.31, 47.67, 19243.43], ['兆易创新', 7.28, 89.75, 19143.31], ['源杰科技', 7.02, 43.04, 18466.18], ['海光信息', 5.81, 60.54, 15293.39], ['新易盛', 5.14, 36.99, 13530.56], ['税友股份', 5.14, 265.8, 13510.43], ['长盈精密', 4.41, 278.32, 11600.47], ['华勤技术', 4.04, 100.93, 10633.98], ['寒武纪', 3.63, 7.21, 9552.19], ['巨人网络', 3.61, 210.16, 9495.15]]"
010214,简称缺失,,,,,,,,,,,"[['阿里巴巴-W', 10.51, 431.28, 69694.85], ['腾讯控股', 9.12, 99.86, 60448.68], ['吉比特', 5.72, 66.72, 37898.1], ['立讯精密', 5.07, 519.86, 33629.74], ['哔哩哔哩-W', 4.84, 156.53, 32098.45], ['兆易创新', 4.56, 141.72, 30228.92], ['中芯国际', 4.18, 381.25, 27690.19], ['达梦数据', 3.96, 99.51, 26223.26], ['科沃斯', 3.89, 239.85, 25783.55], ['小米集团-W', 3.33, 447.98, 22085.41]]"
010004,简称缺失,,,,,,,,,,,"[['安集科技', 8.22, 126.89, 28985.93], ['思特威', 7.52, 222.78, 26547.04], ['睿创微纳', 6.42, 256.31, 22667.71], ['九号公司', 6.31, 334.48, 22279.41], ['中芯国际', 5.81, 282.4, 20510.02], ['平安好医生', 5.26, 1109.58, 18548.48], ['中船特气', 5.1, 409.05, 17981.71], ['阿里巴巴-W', 5.06, 110.4, 17840.36], ['奕瑞科技', 4.95, 151.43, 17469.61], ['地平线机器人-W', 4.68, 1886.34, 16498.59]]"
009995,简称缺失,,,,,,,,,,,"[['阿里巴巴-W', 9.01, 135.82, 21948.17], ['立讯精密', 8.53, 321.09, 20771.36], ['中芯国际', 8.38, 281.0, 20408.34], ['腾讯控股', 7.94, 31.93, 19327.35], ['中微公司', 6.71, 54.67, 16346.32], ['纳芯微', 5.79, 70.54, 14106.37], ['北方华创', 5.16, 27.81, 12578.32], ['华虹半导体', 5.11, 170.39, 12445.27], ['思特威', 4.98, 101.7, 12118.92], ['南芯科技', 4.59, 216.74, 11181.73]]"
009727,简称缺失,,,,,,,,,,,"[['杰瑞股份', 1.07, 19.4, 1080.58], ['完美世界', 1.05, 55.11, 1055.91], ['石化油服', 1.02, 497.62, 1030.07], ['华测导航', 1.02, 29.03, 1028.67], ['深天马A', 1.02, 103.34, 1025.13], ['福田汽车', 1.01, 373.18, 1022.51], ['吉林敖东', 1.0, 50.2, 1004.5], ['科沃斯', 0.99, 9.32, 1001.9], ['西部超导', 0.98, 15.15, 986.37], ['金风科技', 0.98, 65.79, 984.88]]"
009708,简称缺失,,,,,,,,,,,"[['中芯国际', 8.94, 512.35, 37211.98], ['海光信息', 8.89, 146.44, 36989.71], ['中微公司', 8.07, 112.36, 33593.62], ['寒武纪', 7.96, 24.99, 33110.96], ['芯源微', 6.48, 181.09, 26981.9], ['北方华创', 6.04, 55.58, 25144.02], ['中科飞测', 5.29, 189.74, 22015.2], ['兆易创新', 4.69, 91.58, 19534.44], ['晶晨股份', 3.46, 129.41, 14388.09], ['华峰测控', 3.2, 64.01, 13334.05]]"
009505,简称缺失,,,,,,,,,,,[]
009478,简称缺失,,,,,,,,,,,[]
009034,简称缺失,,,,,,,,,,,[]
008989,简称缺失,,,,,,,,,,,"[['新易盛', 9.59, 31.72, 11602.22], ['中际旭创', 8.95, 26.82, 10826.7], ['工业富联', 7.79, 142.78, 9424.91], ['沪电股份', 7.11, 117.02, 8597.46], ['ST华通', 6.88, 401.95, 8324.47], ['阿里巴巴-W', 6.22, 46.58, 7527.21], ['深南电路', 6.03, 33.7, 7300.01], ['生益科技', 5.14, 115.0, 6212.3], ['泡泡玛特', 5.07, 25.2, 6138.29], ['立讯精密', 4.67, 87.39, 5653.26]]"
008987,简称缺失,,,,,,,,,,,[]
008981,简称缺失,,,,,,,,,,,"[['兆易创新', 9.58, 50.0, 10665.0], ['立讯精密', 8.71, 150.0, 9703.5], ['歌尔股份', 8.42, 250.0, 9375.0], ['瑞芯微', 7.7, 38.0, 8570.9], ['华勤技术', 7.57, 80.0, 8428.8], ['安克创新', 6.56, 60.0, 7303.8], ['恒玄科技', 6.41, 24.0, 7140.0], ['南芯科技', 6.02, 130.0, 6706.7], ['纳芯微', 5.39, 30.0, 5999.4], ['中芯国际', 5.03, 40.0, 5605.2]]"
008920,简称缺失,,,,,,,,,,,"[['源杰科技', 10.07, 51.49, 22088.52], ['天孚通信', 9.25, 120.9, 20286.82], ['生益科技', 8.19, 332.43, 17957.87], ['德科立', 7.06, 127.93, 15481.56], ['中际旭创', 6.57, 35.7, 14411.38], ['七一二', 6.17, 618.14, 13531.16], ['航发动力', 5.3, 275.53, 11621.86], ['嘉元科技', 5.12, 299.6, 11240.83], ['长芯博创', 4.94, 102.07, 10846.98], ['沪电股份', 4.73, 141.19, 10373.57]]"
008586,简称缺失,,,,,,,,,,,"[['新易盛', 0.31, 4.95, 1809.83], ['中际旭创', 0.3, 4.43, 1788.3], ['寒武纪', 0.2, 0.88, 1167.59], ['澜起科技', 0.13, 4.83, 747.73], ['中科曙光', 0.13, 6.18, 736.97], ['科大讯飞', 0.11, 11.53, 646.26], ['海康威视', 0.1, 18.42, 580.6], ['豪威集团', 0.09, 3.61, 545.72], ['浪潮信息', 0.07, 5.14, 382.52], ['金山办公', 0.05, 1.0, 314.98]]"
008532,简称缺失,,,,,,,,,,,"[['阿里巴巴-W', 7.11, 45.77, 7396.32], ['华勤技术', 6.35, 62.69, 6605.02], ['柏楚电子', 4.55, 30.8, 4735.92], ['中芯国际', 4.46, 63.9, 4640.9], ['牧原股份', 4.31, 84.64, 4485.81], ['拓荆科技', 4.11, 16.44, 4276.47], ['建滔积层板', 3.91, 360.95, 4063.23], ['中兴通讯', 3.81, 122.4, 3967.08], ['中广核矿业', 3.62, 1310.0, 3767.41], ['安踏体育', 3.53, 42.96, 3667.22]]"
008419,简称缺失,,,,,,,,,,,"[['洛阳钼业', 3.64, 417.9, 5986.27], ['紫金矿业', 3.47, 193.86, 5707.24], ['中芯国际', 2.99, 67.75, 4920.52], ['腾讯控股', 2.94, 7.99, 4836.39], ['阿里巴巴-W', 2.63, 26.77, 4325.96], ['中国黄金国际', 2.54, 32.88, 4166.61], ['江西铜业股份', 2.39, 141.1, 3929.06], ['宁德时代', 2.32, 9.49, 3814.98], ['徐工机械', 2.23, 318.47, 3662.41], ['立讯精密', 2.03, 51.58, 3336.71]]"
